FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Michael Beasley,Mia,SF,26,24,21,43.8,24.6,0.142,26,0.769,178,0.472,34,0.235,0.474,8.8,3.7,10.6,1.3,11.5,0.63,0.54,6.6
Michael Carter-Williams,Phi,PG,23,41,33.9,70.7,27.6,0.201,182,0.643,486,0.412,125,0.256,0.444,15,6.2,9.9,7.4,40.8,1.46,0.44,10.4
Michael Carter-Williams,Mil,PG,23,25,30.3,63.2,26.3,0.182,109,0.78,280,0.457,28,0.143,0.496,14.1,4,7.5,5.6,30.8,2.04,0.48,9
Michael Kidd-Gilchrist,Cha,SF,21,55,28.9,60.1,18.6,0.099,214,0.701,482,0.465,0,0,0.519,10.9,7.6,14.4,1.4,8.2,0.55,0.69,6.7
Mike Conley,Mem,PG,27,70,31.8,66.2,24,0.136,249,0.859,605,0.473,277,0.386,0.558,15.8,3,5.4,5.4,28,1.27,0.2,8
Mike Dunleavy,Chi,SF,34,63,29.2,60.8,14.4,0.104,87,0.805,218,0.468,263,0.407,0.573,9.4,3.9,7.3,1.8,9.8,0.62,0.33,5.5
Mike Miller,Cle,SF,34,52,13.5,28.1,9.1,0.166,4,0.75,16,0.313,98,0.327,0.471,2.1,1.8,7.4,0.9,9,0.27,0.08,4.5
Mike Muscala,Atl,PF,23,40,12.6,26.2,16.9,0.115,25,0.88,129,0.574,22,0.409,0.608,4.9,3,13.6,0.6,8,0.4,0.48,6.6
Mike Scott,Atl,PF,26,68,16.5,34.4,21.7,0.074,77,0.792,261,0.517,192,0.344,0.543,7.8,2.9,10.1,1.1,10.9,0.37,0.04,7.1
Miles Plumlee,Pho,C,26,54,18.6,38.8,11.4,0.175,38,0.5,195,0.549,0,0,0.55,4.3,5.1,14.9,0.5,3.9,0.65,1.02,4.8
Miles Plumlee,Mil,C,26,19,10,20.8,16.6,0.088,8,0.375,59,0.492,0,0,0.488,3.2,2.4,13.9,0.4,6,0.32,0.58,5.8
Mirza Teletovic,Bro,PF,29,40,22.3,46.5,20.3,0.135,46,0.717,126,0.476,193,0.321,0.5,8.5,4.9,12.2,1.1,8,0.35,0.4,6.4
Mitch McGary,Okc,PF,22,32,15.2,31.6,19.2,0.145,40,0.625,163,0.54,2,0,0.55,6.3,5.2,18.2,0.4,4.6,0.5,0.5,6.2
Mo Williams,Cha,PG,32,27,30.8,64.2,29.1,0.134,93,0.892,235,0.43,178,0.337,0.512,17.2,2.8,5,6,36.4,0.59,0.22,8.6
Mo Williams,Min,PG,32,41,28,58.4,23,0.174,94,0.851,277,0.437,170,0.347,0.511,12.2,2.4,4.9,6.4,38,0.73,0.22,8.2
Monta Ellis,Dal,SG,29,80,33.7,70.3,28.3,0.117,303,0.752,1070,0.487,284,0.285,0.509,18.9,2.4,3.9,4.1,20.5,1.85,0.31,6.8
Nate Robinson,Den,PG,30,33,14.1,29.3,23,0.09,40,0.65,112,0.42,92,0.261,0.433,5.8,1.2,4.5,2.3,26.4,0.42,0.09,7.1
Nate Robinson,Lac,PG,30,9,14,29.2,22.3,0.13,6,0.833,31,0.323,20,0.35,0.429,5.1,1.2,4.9,2.2,23.2,0.67,0,6.8
Nate Wolters,Mil,PG,23,11,12.9,26.8,11.6,0.084,4,0.25,26,0.462,5,0,0.382,2.3,1.5,6.5,0.9,10.3,0.45,0,4.5
Nate Wolters,Nor,PG,23,10,10.5,21.9,16.3,0.271,2,0.5,24,0.333,2,0,0.316,1.7,1.8,9.7,1.1,14.8,0.3,0.2,5.7
Nazr Mohammed,Chi,C,37,23,5.6,11.6,13.3,0.188,3,0.333,29,0.414,0,0,0.412,1.1,1.6,15.7,0.1,3.5,0.17,0.22,4
Nene,Was,PF,32,67,25.3,52.7,22.2,0.152,202,0.604,596,0.513,5,0.2,0.534,11,5.1,11.5,1.8,11.9,0.99,0.33,7.4
Nerlens Noel,Phi,PF,20,75,30.8,64.2,17.3,0.162,230,0.609,653,0.462,0,0,0.493,9.9,8.1,14.3,1.7,9.8,1.77,1.89,6.7
Nick Calathes,Mem,SG,25,58,14.4,30.1,18.2,0.186,45,0.533,203,0.458,44,0.25,0.455,4.2,1.8,7.2,2.5,26.6,1.09,0.09,7.4
Nick Collison,Okc,PF,34,66,16.7,34.7,12.9,0.138,65,0.692,193,0.466,60,0.267,0.485,4.1,3.8,12.2,1.4,11.6,0.53,0.38,6.7
Nick Johnson,Hou,SG,22,28,9.4,19.5,17.6,0.181,25,0.68,54,0.389,21,0.238,0.43,2.6,1.4,8.2,0.4,6.3,0.25,0.11,4.8
Nick Young,Lal,SG,29,42,23.8,49.6,26.4,0.075,148,0.892,251,0.363,225,0.369,0.52,13.4,2.3,5.3,1,6.9,0.55,0.26,5.3
Nicolas Batum,Por,SF,26,71,33.5,69.8,14.7,0.171,98,0.857,291,0.481,308,0.325,0.517,9.4,5.9,9.4,4.8,20.5,1.1,0.56,7.7
Nik Stauskas,Sac,SG,21,73,15.4,32.2,14.5,0.11,64,0.859,147,0.408,149,0.322,0.492,4.4,1.2,4.4,0.9,9,0.27,0.23,4.4
Nikola Mirotic,Chi,PF,23,82,20.2,42,23.1,0.106,284,0.803,311,0.495,313,0.316,0.556,10.2,4.9,13.3,1.2,9.7,0.66,0.66,7.8
Nikola Pekovic,Min,C,29,31,26.3,54.8,23.4,0.098,129,0.837,328,0.424,0,0,0.502,12.5,7.5,16.4,0.9,5.7,0.61,0.39,6.7
Nikola Vucevic,Orl,C,24,74,34.2,71.2,26.4,0.102,218,0.752,1200,0.524,6,0.333,0.548,19.3,10.9,18.1,2,11,0.73,0.73,8.8
Noah Vonleh,Cha,PF,19,25,10.3,21.5,17.6,0.112,26,0.692,63,0.397,13,0.385,0.475,3.3,3.4,18.3,0.2,2.5,0.16,0.36,5.1
Norris Cole,Mia,PG,26,47,24.4,50.9,16,0.151,46,0.696,204,0.446,102,0.265,0.452,6.3,2.3,5.7,3.5,22.9,0.89,0.17,6.1
Norris Cole,Nor,PG,26,28,24.4,50.8,21,0.133,35,0.743,178,0.472,74,0.378,0.52,9.9,1.8,4.2,3.2,21.2,0.54,0.25,6.3
O.J. Mayo,Mil,SG,27,71,23.9,49.8,24,0.144,139,0.827,424,0.465,276,0.359,0.529,11.4,2.6,6.3,2.8,19.4,0.8,0.25,7.3
