FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,VI,SPG,BPG
James Jones,Mia,SG,31,51,12.9,26.4,12.2,0.058,30,0.833,36,0.306,114,0.404,0.567,3.6,1,4.5,0.4,4.3,3.5,0.33,0.18
James Singleton,Was,PF,30,12,21.6,44.7,15.8,0.109,15,0.933,66,0.591,9,0.222,0.6,8.2,6.8,17.6,1.3,9.6,7.7,0.75,0.67
Jan Vesely,Was,PF,21,57,18.7,38.9,12.8,0.197,62,0.532,217,0.539,1,0,0.544,4.7,4.4,13.2,0.8,6.8,5.5,0.68,0.56
Jannero Pargo,Atl,PG,32,50,13.2,26.8,22.2,0.157,20,0.95,116,0.457,138,0.384,0.54,5.7,1.5,6.5,1.9,24.6,7.7,0.4,0.04
Jared Dudley,Pho,PF,26,65,30.9,64.3,17.8,0.091,166,0.723,434,0.535,209,0.383,0.575,12.7,4.6,8.5,1.8,9,6.1,0.77,0.29
Jared Jeffries,Nyk,PF,30,39,18.5,38.1,12.7,0.142,72,0.681,128,0.438,16,0.188,0.484,4.4,3.9,12.2,0.7,5.5,5,0.74,0.64
Jarrett Jack,Nor,PG,28,45,33.8,69.8,23.4,0.141,148,0.872,471,0.482,112,0.348,0.54,15.6,3.9,6.9,6.3,34.2,8.6,0.69,0.2
Jason Collins,Atl,C,33,30,10.1,20.1,8.8,0.177,15,0.467,40,0.4,0,0,0.418,1.3,1.6,9.3,0.3,4.7,3.4,0.13,0.1
Jason Kidd,Dal,PG,38,48,28.5,58.3,12.7,0.242,28,0.786,50,0.4,223,0.354,0.524,6.2,4.1,8.1,5.5,28.6,7.3,1.71,0.21
Jason Maxiell,Det,PF,28,65,22.3,46.1,16,0.142,106,0.547,381,0.48,2,0,0.493,6.5,5.1,13.7,0.6,4.8,4.9,0.49,0.77
Jason Richardson,Orl,SG,30,54,29.3,60.4,20.4,0.087,69,0.594,319,0.442,277,0.368,0.502,11.6,3.6,7.1,2,12.1,6,0.98,0.41
Jason Smith,Nor,PF,25,40,23.5,48.4,20.6,0.098,47,0.702,339,0.531,9,0.111,0.537,9.9,4.9,12.4,0.9,6.9,6,0.53,1.03
Jason Terry,Dal,SG,34,63,31.6,64.8,23.5,0.127,111,0.883,464,0.472,365,0.378,0.541,15.1,2.4,4.2,3.6,20.1,6.4,1.16,0.17
Jason Thompson,Sac,PF,25,64,25.7,53.3,15.6,0.115,181,0.602,441,0.537,2,0,0.558,9.1,6.9,14.8,1.2,7.5,6.6,0.66,0.69
JaVale McGee,Was,C,24,41,27.3,56.7,20.8,0.131,116,0.5,400,0.535,0,0,0.539,11.9,8.8,18.3,0.6,3.8,5.8,0.61,2.44
JaVale McGee,Den,C,24,20,20.3,40.6,21.3,0.098,51,0.373,152,0.612,0,0,0.588,10.3,5.8,16.5,0.3,2.6,5.2,0.5,1.55
Jeff Foster,Ind,C,34,11,12.6,24.8,9.5,0.242,9,0.667,17,0.471,1,1,0.569,2.3,3.8,17.1,0.4,4.3,4.8,0.73,0.09
Jeff Teague,Atl,PG,23,66,32.9,67.1,19.2,0.151,185,0.757,522,0.515,149,0.342,0.552,12.6,2.4,4.3,4.9,24.6,6.4,1.61,0.56
Jeremy Lin,Nyk,PG,23,35,26.6,54.9,28.3,0.214,183,0.798,308,0.477,75,0.32,0.552,14.6,3.1,6.6,6.1,41.3,9.8,1.57,0.26
Jeremy Tyler,Gol,PF,20,42,13.3,27.6,22,0.134,52,0.558,208,0.423,1,0,0.442,4.9,3.3,14.2,0.4,4.6,5.6,0.38,0.48
Jermaine OÕNeal,Bos,C,33,25,22.6,46.3,13.2,0.136,31,0.677,120,0.433,0,0,0.468,5,5.4,14.1,0.4,2.8,3.9,0.32,1.68
Jerryd Bayless,Tor,PG,23,31,22.5,46.1,24.8,0.144,88,0.852,172,0.424,104,0.423,0.561,11.4,2.1,5.5,3.8,31.2,8,0.77,0.13
Jimmer Fredette,Sac,SG,22,61,18.4,38.2,20.6,0.125,48,0.833,230,0.409,216,0.361,0.495,7.6,1.2,3.6,1.8,15.5,5.5,0.48,0.05
Joakim Noah,Chi,C,26,64,30.2,62.5,15.8,0.137,206,0.748,488,0.51,1,0,0.562,10.2,9.8,18.1,2.5,12.8,8.3,0.64,1.44
Jodie Meeks,Phi,SG,24,66,24.7,51.2,15.4,0.054,85,0.906,201,0.468,266,0.365,0.551,8.4,2.4,5.5,0.8,5,4.1,0.61,0.05
Joe Johnson,Atl,SG,30,58,35.2,71.7,24.9,0.1,175,0.851,587,0.491,309,0.382,0.554,18.6,3.6,6,3.9,19.8,7.3,0.78,0.17
Joel Anthony,Mia,C,29,64,20.9,42.9,7.9,0.197,71,0.69,152,0.559,0,0,0.598,3.4,3.9,11.2,0.1,1,2.1,0.56,1.31
Joel Przybilla,Por,C,31,27,16.4,33.6,8,0.282,18,0.611,48,0.458,0,0,0.492,2,5.1,18.1,0.2,1.9,3.1,0.15,0.59
Johan Petro,Njn,C,25,59,15.5,32.1,15.8,0.121,37,0.838,259,0.417,1,1,0.452,4.2,3.8,14.3,0.8,8.3,6,0.36,0.39
John Lucas,Chi,PG,29,49,14.6,30.2,26.4,0.101,32,0.875,218,0.404,141,0.39,0.495,7.5,1.6,5.9,2.2,26,8.2,0.39,0.02
John Salmons,Sac,SF,32,46,27,55.8,14.3,0.11,45,0.644,233,0.464,112,0.295,0.471,7.5,2.9,5.9,2,11.2,5.2,0.83,0.15
John Wall,Was,PG,21,66,36,74.9,25,0.192,402,0.789,852,0.44,42,0.071,0.502,16.3,4.5,7.1,8,37.1,9.3,1.42,0.86
Jon Leuer,Mil,PF,22,46,11.9,24.6,17.9,0.081,28,0.75,182,0.516,9,0.333,0.536,4.7,2.6,12.1,0.5,7.5,6.1,0.3,0.37
Jonas Jerebko,Det,PF,24,64,22.8,47.1,18.2,0.115,124,0.806,347,0.519,106,0.302,0.548,8.7,4.8,12.6,0.7,5.2,5.4,0.64,0.33
Jonny Flynn,Hou,PG,22,11,12.1,23.2,19.2,0.16,14,0.786,32,0.313,9,0.222,0.392,3.4,0.7,3.5,2.5,30.8,6,0.27,0.09
Jonny Flynn,Por,PG,22,18,15.4,31.2,21.1,0.211,25,0.72,65,0.4,25,0.32,0.465,5.2,1.7,6.5,3.8,38.9,8.4,0.17,0.06
Jordan Crawford,Was,SG,23,64,27.2,56.5,28.3,0.128,203,0.793,598,0.452,273,0.289,0.488,14.7,2.6,5.5,3,19.4,7.1,0.92,0.08
Jordan Farmar,Njn,PG,25,39,21.1,43.8,22.8,0.166,63,0.905,190,0.484,125,0.44,0.592,10.4,1.6,4.3,3.3,29.4,7.2,0.62,0.05
Jordan Hill,Hou,SF,24,32,14.5,29.3,17.3,0.136,39,0.641,132,0.515,3,0,0.529,5,4.8,19.4,0.4,4.8,5.9,0.28,0.66
Jordan Williams,Njn,PF,21,43,14.6,30.2,14.9,0.113,66,0.652,152,0.507,0,0,0.544,4.6,3.6,14.5,0.3,3,4.7,0.49,0.35
Jose Barea,Min,PG,27,41,25,51.5,24.5,0.183,98,0.776,275,0.415,143,0.371,0.502,11.3,2.8,6.2,5.7,39.4,9,0.51,0
Jose Calderon,Tor,PG,30,53,33.7,69.6,16.1,0.17,68,0.882,318,0.5,159,0.371,0.547,10.5,3,5.2,8.8,44.6,7.7,0.89,0.06
Josh Childress,Pho,SG,28,34,14.3,29.7,10.2,0.083,2,0,75,0.587,24,0.167,0.501,2.9,2.8,11.1,1,10.2,5.6,0.41,0.18
Josh Harrellson,Nyk,PF,22,37,14.4,29.7,15.1,0.111,26,0.615,90,0.478,58,0.345,0.508,4.4,3.9,15.6,0.3,3.3,4.8,0.62,0.54
Josh Howard,Uta,SF,31,42,22.4,45.3,21,0.12,93,0.785,310,0.423,36,0.25,0.468,8.6,3.5,9.1,1.1,8.1,5.7,0.71,0.21
Josh McRoberts,Lal,PF,24,50,14.2,29,10.7,0.188,36,0.639,111,0.477,7,0.429,0.516,2.8,3.4,13.5,1,10.6,6,0.3,0.36
Josh Smith,Atl,PF,26,65,35,71.5,28.4,0.118,314,0.627,969,0.478,106,0.264,0.497,18.6,9.5,16,3.9,20.7,10.1,1.42,1.75
Jrue Holiday,Phi,PG,21,65,33.6,69.6,22,0.131,120,0.783,663,0.445,171,0.38,0.496,13.5,3.3,5.4,4.5,21.8,7,1.58,0.28
Kawhi Leonard,San,SF,20,64,23.8,49.2,14.6,0.09,88,0.773,295,0.536,109,0.376,0.573,7.9,5.1,12.3,1.1,6.7,5.9,1.33,0.36
Kemba Walker,Cha,PG,21,66,27,56,25.4,0.121,213,0.789,541,0.392,226,0.305,0.464,12.1,3.5,7.5,4.4,30.6,8.5,0.91,0.32
Kendrick Perkins,Okc,C,27,65,26.6,55,11.2,0.275,112,0.652,262,0.489,0,0,0.528,5.1,6.6,14,1.2,6.5,5.2,0.38,1.12
Kenneth Faried,Den,SF,22,46,22.4,45.7,18.9,0.124,164,0.665,309,0.586,0,0,0.618,10.2,7.7,20,0.8,5.6,7.1,0.74,1.02
Kenny Thomas,Por,PF,34,53,15,30.9,11.4,0.158,20,0.7,157,0.465,0,0,0.483,3,3.5,13.8,0.9,8.8,5.6,0.45,0.58
Kenyon Martin,Lac,PF,34,41,22.2,45.7,13.7,0.119,52,0.385,203,0.453,12,0.167,0.441,5.1,4.3,11.5,0.4,2.8,3.7,1.05,1.02
Kevin Durant,Okc,SF,23,66,38.4,79.2,31.5,0.14,501,0.86,953,0.535,344,0.387,0.61,28,8,11.9,3.5,17.7,9.6,1.33,1.17
Kevin Garnett,Bos,PF,35,60,30.9,63.9,25.1,0.111,189,0.857,768,0.505,9,0.333,0.55,15.8,8.2,15.7,2.9,18.1,9.3,0.95,1.02
Kevin Love,Min,PF,23,55,38.8,80.3,28.9,0.092,460,0.824,777,0.475,282,0.372,0.568,26,13.4,19.1,2,10.1,9.1,0.85,0.51
Kevin Martin,Hou,SG,28,41,31.1,63.4,24.6,0.101,181,0.884,316,0.462,226,0.35,0.554,16.8,2.7,5,2.7,14.5,6.4,0.71,0.1
Kevin Seraphin,Was,PF,22,57,20.4,42.5,18.4,0.138,70,0.671,380,0.532,1,0,0.548,7.9,4.9,13.6,0.6,4.8,5.6,0.33,1.33
Keyon Dooling,Bos,SG,31,46,14.1,29.2,15.5,0.161,31,0.742,82,0.476,81,0.333,0.515,4,0.8,3.5,1.1,12.1,4.3,0.28,0.04
Kirk Hinrich,Atl,PG,31,48,25.6,51.8,14.1,0.158,32,0.781,159,0.472,136,0.346,0.511,6.6,2.1,4.9,2.8,16.5,5.3,0.79,0.23
Klay Thompson,Gol,SG,21,66,24.1,50.1,24.9,0.12,91,0.868,450,0.46,268,0.414,0.545,12.5,2.4,5.7,2,14.2,6.5,0.74,0.3
Kobe Bryant,Lal,SG,33,58,38.3,78.5,35.9,0.117,451,0.845,1049,0.464,287,0.303,0.527,27.9,5.4,7.9,4.6,23.9,9.2,1.19,0.31
Kosta Koufos,Den,C,23,48,16.3,33.3,14.2,0.129,55,0.6,192,0.599,0,0,0.608,5.5,5.4,19.2,0.3,2.9,5.1,0.5,0.85
Kris Humphries,Njn,PF,26,62,34.6,71.9,19.5,0.131,278,0.752,671,0.481,0,0,0.539,13.8,11,18.4,1.5,7.5,7.1,0.81,1.19
Kyle Korver,Chi,SG,30,65,22.4,46.4,15.5,0.107,66,0.833,140,0.429,272,0.434,0.6,8.1,2.4,6.1,1.8,12,5.8,0.55,0.23
Kyle Lowry,Hou,PG,25,47,31.9,65.2,22.1,0.178,198,0.864,302,0.434,211,0.374,0.558,14.3,4.6,8.3,6.6,32.6,9.5,1.55,0.28
Kyrie Irving,Cle,PG,19,51,30.3,62.5,28.9,0.161,196,0.872,564,0.491,183,0.399,0.566,18.5,3.7,7,5.4,36.9,9.5,1.06,0.39
L.R. Mbah a Moute,Mil,SF,25,43,23.3,48.3,15.2,0.113,103,0.641,257,0.514,4,0.25,0.544,7.7,5.3,12.5,0.7,4.4,5.2,0.93,0.51
Lamar Odom,Dal,PF,32,50,20.3,41.6,20.2,0.115,98,0.592,238,0.399,111,0.252,0.423,6.6,4.2,11.5,1.7,13,7.1,0.4,0.36
LaMarcus Aldridge,Por,PF,26,55,36.1,74.4,27.1,0.095,274,0.814,932,0.516,11,0.182,0.56,21.7,8,13,2.4,13.3,8.3,0.93,0.82
Lance Stephenson,Ind,SG,21,42,10.3,21.1,17.7,0.214,17,0.471,95,0.453,30,0.133,0.4,2.5,1.3,6.9,1.1,17,5.9,0.5,0.12
Lance Thomas,Nor,PF,23,42,14.8,30.6,13.5,0.135,62,0.839,126,0.46,1,0,0.544,4,3,12,0.3,3.1,4.1,0.24,0.17
Landry Fields,Nyk,SG,23,66,28.5,59,16.1,0.151,137,0.562,392,0.523,121,0.256,0.506,8.8,4.2,8.5,2.6,14.6,6.4,1.2,0.26
Larry Sanders,Mil,PF,22,52,12.1,25.2,17,0.176,38,0.474,182,0.462,2,0,0.463,3.6,3.1,14,0.6,8,6.2,0.62,1.46
Lavoy Allen,Phi,PF,22,41,15,31.1,14.7,0.104,14,0.786,167,0.473,0,0,0.488,4.1,4.2,15.4,0.8,8.5,6.4,0.32,0.44
Leandro Barbosa,Tor,SG,29,42,22.3,45.9,28.2,0.121,91,0.835,343,0.461,111,0.36,0.518,12.2,1.9,4.9,1.5,13.5,5.9,0.86,0.17
Leandro Barbosa,Ind,SG,29,22,19.6,39.8,23.5,0.116,33,0.758,124,0.387,59,0.424,0.496,8.9,2.2,6.4,1.5,13.5,6.3,0.91,0
LeBron James,Mia,SF,27,62,37.3,76.7,32.1,0.133,502,0.771,1020,0.556,149,0.362,0.605,27.1,7.9,12.7,6.2,33.8,11.8,1.85,0.81
Lester Hudson,Cle,PG,27,13,24,48,28.5,0.152,38,0.842,90,0.489,61,0.246,0.492,12.7,3.5,8.4,2.7,21.6,8.2,1.08,0.23
Linas Kleiza,Tor,SF,27,49,21.4,44.1,23.3,0.124,100,0.81,231,0.446,179,0.346,0.521,9.7,4.1,11.1,0.9,7.9,6.2,0.47,0.08
Lou Williams,Phi,PG,25,64,26.1,54.1,27.6,0.072,292,0.812,553,0.425,229,0.362,0.525,14.9,2.4,5.2,3.5,22.6,7.7,0.83,0.28
Louis Amundson,Ind,SG,22,60,12.3,25.5,17.6,0.16,82,0.427,206,0.432,0,0,0.44,3.6,3.7,16.9,0.2,3.1,4.5,0.45,0.73
Luis Scola,Hou,PF,31,66,31.1,64,24.9,0.136,198,0.773,885,0.493,3,0,0.526,15.5,6.5,12.1,2.1,12.1,7.7,0.53,0.36
Luke Babbitt,Por,SF,22,40,13.2,27.2,18.1,0.129,22,0.864,73,0.384,100,0.43,0.553,5.1,2.4,10.5,0.4,4.9,5.1,0.25,0.1
Luke Harangody,Cle,SF,24,21,10.8,21.9,14.8,0.054,12,0.75,44,0.409,21,0.238,0.427,2.9,2.5,13.3,0.3,4.4,4.8,0.29,0.14
Luke Ridnour,Min,PG,30,53,32.8,67.8,17.8,0.136,119,0.891,398,0.485,152,0.322,0.53,12.1,2.7,4.5,4.8,24.2,6.6,1.06,0.3
Luke Walton,Cle,SF,31,21,14,28.5,11.6,0.329,0,0,35,0.314,16,0.438,0.422,2,1.7,6.8,1.4,15.8,4.8,0.14,0.05
Luol Deng,Chi,SF,26,54,39.2,81.1,19.8,0.104,165,0.77,540,0.43,214,0.369,0.501,15.3,6.5,9.2,2.9,11.8,6.7,1.04,0.67
Malcolm Lee,Min,SG,21,19,12.6,25.6,15.5,0.204,17,0.824,49,0.429,10,0.2,0.466,3.3,1.4,6,1.6,20.2,6.2,0.42,0.21
Manny Harris,Cle,SG,22,26,17.3,35.4,20.3,0.133,59,0.695,114,0.421,36,0.333,0.492,6.7,2.7,8.8,1.2,12,6.4,0.5,0.23
Manu Ginobili,San,SG,34,34,23.1,47.6,22.8,0.163,101,0.871,159,0.616,126,0.413,0.668,12.9,3.4,8.5,4.4,30.6,10,0.71,0.35
Marc Gasol,Mem,C,26,65,36.3,75.1,19.2,0.121,317,0.748,728,0.489,12,0.083,0.541,14.6,8.9,14.3,3.1,14.2,8.1,0.95,1.86
Marcin Gortat,Pho,C,27,66,31.8,66.3,20.9,0.093,251,0.649,767,0.557,2,0,0.578,15.4,10,17.7,0.9,4.8,6.5,0.73,1.48
Marco Belinelli,Nor,SG,25,66,29.6,61.2,19.7,0.085,129,0.783,402,0.445,284,0.377,0.525,11.8,2.6,5.2,1.5,9,4.8,0.73,0.08
Marcus Camby,Por,C,37,40,22.1,45.5,11.6,0.209,38,0.474,161,0.416,0,0,0.428,3.8,8.9,23.3,1.9,12.5,7.2,0.83,1.4
Marcus Camby,Hou,C,37,19,23.9,47.4,14.8,0.068,26,0.423,121,0.488,5,0.4,0.491,7.1,9.3,22.5,1.7,11,8.1,0.89,1.53
Marcus Thornton,Sac,SG,24,51,34.7,71.9,23.5,0.088,163,0.865,494,0.496,310,0.345,0.544,18.7,3.7,5.8,1.9,9.5,5.9,1.37,0.24
Mario Chalmers,Mia,PG,25,64,28.3,58.2,17.5,0.207,101,0.792,238,0.513,260,0.388,0.578,9.8,2.7,5.6,3.5,19.2,6.4,1.52,0.17
Markieff Morris,Pho,PF,22,63,19.3,40.1,20.6,0.127,106,0.717,312,0.42,124,0.347,0.484,7.4,4.4,13,1,8.3,6.6,0.65,0.67
Marquis Daniels,Bos,SG,31,38,12.5,25.8,18.3,0.155,23,0.739,133,0.391,10,0,0.395,3.2,1.7,8.2,1.2,15.8,6,0.55,0.24
Marreese Speights,Mem,C,24,60,22.2,46,20.7,0.121,109,0.771,485,0.456,3,0,0.491,8.8,6.2,16.4,0.8,6,6.3,0.35,0.48
MarShon Brooks,Njn,SG,22,56,29.2,60.6,23,0.143,148,0.764,490,0.463,150,0.313,0.502,12.6,3.6,7.1,2.3,14.7,6.4,0.93,0.27
Marvin Williams,Atl,SF,25,58,26.2,53.3,18.4,0.071,150,0.793,333,0.45,154,0.396,0.544,10.4,5.1,11.4,1.3,8,6.3,0.84,0.31
Matt Barnes,Lal,SF,31,63,22.7,46.6,16.5,0.141,128,0.742,249,0.518,138,0.333,0.554,7.8,5.5,13.4,2,13.9,7.8,0.56,0.76
Matt Bonner,San,PF,31,65,20.2,41.8,13,0.038,21,0.762,100,0.49,250,0.42,0.597,6.6,3.3,9.4,0.9,6.6,5.3,0.23,0.32
Matt Carroll,Cha,SG,31,53,11.1,22.9,15.6,0.121,38,0.789,114,0.386,43,0.186,0.409,2.7,1.1,5.7,0.7,10.8,4.6,0.3,0.13
Maurice Evans,Was,SF,33,24,14.1,29.3,16.9,0.078,13,0.769,67,0.418,45,0.378,0.497,4.9,1,4,0.4,4.7,3.6,0.58,0
Mehmet Okur,Njn,C,32,17,26.5,54.5,16.8,0.145,5,0.6,67,0.433,72,0.319,0.46,7.6,4.8,10.5,1.8,11.2,6.1,0.53,0.29
Metta World Peace,Lal,SF,32,64,26.7,54.8,15.7,0.118,115,0.617,276,0.46,189,0.296,0.478,7.7,3.4,7.1,2.2,12.6,5.8,1.09,0.42
Michael Beasley,Min,PF,23,47,22.9,47.4,25.5,0.129,95,0.642,396,0.462,101,0.376,0.502,11.5,4.4,10.6,1,7.8,6.5,0.38,0.4
Michael Redd,Pho,SG,32,51,14.9,31,26.6,0.083,111,0.793,228,0.447,132,0.318,0.511,8.2,1.5,5.7,0.6,7.3,5.2,0.25,0
Mickael Pietrus,Bos,SF,29,42,21.7,44.8,16.7,0.104,31,0.645,88,0.489,182,0.335,0.509,6.9,3.1,8.4,0.6,4.4,4.3,0.5,0.24
Mickell Gladness,Gol,C,25,18,12.2,25,13.7,0.061,12,0.5,56,0.429,0,0,0.441,3,2.6,12.2,0.2,2,3.8,0.17,1.06
Mike Bibby,Nyk,PG,33,39,14.1,29.1,12,0.136,8,0.75,39,0.205,85,0.318,0.404,2.6,1.5,6.2,2.1,21.4,5.7,0.54,0.08
Mike Conley,Mem,PG,24,62,34.9,72.2,18.4,0.142,158,0.861,525,0.45,159,0.377,0.523,12.7,2.5,4.2,6.5,29.9,6.8,2.18,0.18
Mike Dunleavy,Mil,SF,31,55,26.1,54.2,19.2,0.093,143,0.811,296,0.527,208,0.399,0.597,12.3,3.7,7.9,2.1,13.1,7,0.51,0.15
Mike James,Chi,PG,36,11,10.8,21.6,25.6,0.21,8,0.875,39,0.359,10,0.6,0.505,4.8,0.9,4.7,2.6,40.4,8.3,0.36,0.18
Mike Miller,Mia,SG,31,39,19.1,38.9,15,0.124,5,0.4,92,0.413,117,0.453,0.561,6.1,3.3,10.2,1.1,8.8,5.9,0.38,0.15
Mo Williams,Lac,PG,29,51,28.1,57.9,22.9,0.117,76,0.895,359,0.448,234,0.385,0.527,12.9,1.9,4,3.1,18.6,6,0.96,0.12
Monta Ellis,Gol,SG,26,37,36.7,75.8,30.9,0.135,186,0.812,548,0.465,156,0.321,0.516,21.9,3.4,5.3,6,29.5,8.3,1.51,0.32
Monta Ellis,Mil,SG,26,21,35.8,74.1,25.2,0.126,89,0.764,291,0.457,45,0.267,0.493,17.6,3.5,5.4,5.9,27.5,8,1.38,0.29
Martell Webster,Min,SF,25,47,24,49.6,13.8,0.132,72,0.792,163,0.479,109,0.339,0.533,6.9,3.6,8.2,0.9,5.6,4.7,0.66,0.36
Nate Robinson,Gol,PG,27,51,23.2,48,23.8,0.123,113,0.832,303,0.459,181,0.365,0.534,11.2,2,4.8,4.5,32.1,8,1.16,0.02
Nazr Mohammed,Okc,C,34,63,10.8,22.3,13.7,0.126,23,0.565,168,0.47,2,0,0.475,2.7,2.7,14.3,0.2,3.2,4.2,0.32,0.59
Nene Hilario,Den,C,29,28,29.3,59.3,22.6,0.185,133,0.677,279,0.513,2,0,0.554,13.4,7.4,14.8,2.2,11.8,8.2,1.29,0.89
Nene Hilario,Was,C,29,11,25.6,52.8,23.3,0.13,35,0.657,110,0.618,2,0,0.624,14.5,7.5,16.7,1.7,13,8.9,0.55,1.18
Nick Collison,Okc,PF,31,63,20.6,42.4,10.1,0.211,62,0.71,200,0.6,1,0,0.622,4.5,4.3,12.1,1.3,9.4,5.7,0.52,0.44
Nick Young,Was,SG,26,40,30.1,62.5,26.3,0.084,130,0.862,393,0.425,197,0.371,0.514,16.6,2.4,4.6,1.2,6.8,4.8,0.75,0.28
Nick Young,Lac,SG,26,22,23.4,47.6,21,0.102,39,0.821,108,0.426,85,0.353,0.509,9.7,1.6,4.2,0.5,3.2,3.4,0.64,0.27
Nicolas Batum,Por,SF,23,59,30.1,62.2,20.6,0.112,159,0.836,367,0.496,274,0.391,0.575,13.9,4.6,8.9,1.4,8,5.9,0.97,1.02
Nikola Pekovic,Min,C,26,47,26.7,55.2,22.1,0.141,187,0.743,454,0.564,0,0,0.607,13.9,7.4,15.3,0.7,4.6,6.2,0.62,0.66
Nikola Vucevic,Phi,C,21,51,15.7,32.5,19.9,0.097,34,0.529,283,0.452,8,0.375,0.462,5.5,4.8,17,0.6,6.3,6.4,0.39,0.67
Nolan Smith,Por,PG,23,44,12.1,24.9,20.1,0.179,28,0.714,135,0.4,45,0.289,0.434,3.8,1.3,6.1,1.4,18.6,6.3,0.41,0.07
Norris Cole,Mia,PG,23,65,19.2,39.5,22,0.177,85,0.776,374,0.417,76,0.276,0.452,6.8,1.4,4.4,2,17.2,5.6,0.68,0.03
O.J. Mayo,Mem,SG,24,66,26.6,55.1,24.1,0.133,172,0.773,461,0.434,275,0.364,0.513,12.6,3.2,7,2.6,16.3,7.1,1.09,0.35
Omer Asik,Chi,C,25,66,14.5,30.1,12.8,0.252,103,0.456,156,0.506,0,0,0.509,3.1,5.3,20.4,0.5,4.8,5.6,0.47,1.03
Omri Casspi,Cle,SF,23,65,20.4,42.2,17.7,0.122,108,0.685,244,0.463,168,0.315,0.499,7.1,3.5,9.8,1,8.5,5.7,0.57,0.32
Patrick Mills,San,PG,23,16,16.1,32.6,28.9,0.16,15,1,74,0.527,56,0.429,0.604,10.3,1.8,6.2,2.4,26.4,8.8,0.63,0.06
Patrick Patterson,Hou,PF,22,64,23,47.1,18.1,0.084,57,0.702,508,0.443,3,0,0.457,7.7,4.5,11.3,0.8,5.8,5.3,0.42,0.56
Pau Gasol,Lal,PF,31,65,37.2,76.4,22.2,0.121,261,0.782,889,0.508,28,0.25,0.547,17.4,10.4,15.7,3.7,17.5,9.4,0.57,1.35
Paul George,Ind,SF,21,66,29.5,60.9,19.5,0.14,182,0.802,405,0.472,234,0.385,0.555,12.1,5.6,10.7,2.4,13.6,7.4,1.64,0.58
Paul Millsap,Uta,PF,26,64,32.6,66.6,23.3,0.103,255,0.792,830,0.505,31,0.226,0.545,16.6,8.8,15.5,2.3,12.5,8.5,1.84,0.83
Paul Pierce,Bos,SF,34,61,33.8,70,28.2,0.142,344,0.852,617,0.476,273,0.366,0.567,19.4,5.2,9.1,4.5,24.4,9.1,1.15,0.43
Quentin Richardson,Orl,SF,31,48,17.9,36.8,13.1,0.121,30,0.833,76,0.421,121,0.347,0.511,4.5,2.6,8.3,0.8,7.1,4.7,0.58,0.13
Quincy Pondexter,Mem,SF,23,64,15.4,32,13.4,0.103,53,0.623,166,0.518,73,0.301,0.517,4.2,2,7.4,0.4,4.2,3.9,0.42,0.08
Raja Bell,Uta,SG,35,34,23.2,46.5,11.7,0.102,25,0.84,87,0.54,87,0.391,0.586,6.4,1.4,3.6,1.1,7.1,3.7,0.38,0.06
Rajon Rondo,Bos,PG,25,53,36.7,75.9,20.8,0.228,181,0.597,530,0.464,42,0.238,0.483,11.9,4.8,7.8,11.7,52.8,9.5,1.79,0.06
Ramon Sessions,Cle,PG,25,41,24.3,50,22.6,0.164,147,0.83,292,0.394,62,0.419,0.514,10.5,3.1,7.2,5.2,37.5,9.1,0.66,0.02
Ramon Sessions,Lal,PG,25,23,30.2,60.5,20.7,0.188,101,0.713,176,0.477,35,0.486,0.57,12.7,3.8,7,6.2,33.4,8.9,0.74,0.09
Randy Foye,Lac,PG,28,65,25.7,53.1,20.8,0.097,85,0.859,315,0.41,329,0.386,0.522,11,2.1,4.9,2.2,14.3,5.8,0.71,0.37
Rashard Lewis,Was,SF,32,28,25.8,53.6,16.7,0.119,37,0.838,153,0.451,68,0.235,0.457,7.8,3.9,8.6,1,5.8,4.8,0.82,0.36
Rasual Butler,Tor,SF,32,34,13.2,27,16.1,0.098,12,0.583,56,0.357,77,0.273,0.398,3.2,1.9,8.6,0.6,6.9,4.7,0.21,0.15
Ray Allen,Bos,SG,36,46,33.8,69.8,18.8,0.112,106,0.915,259,0.463,234,0.453,0.607,14.2,3.1,5.4,2.4,11.9,5.6,1.07,0.17
Raymond Felton,Por,PG,27,60,31.6,65.2,20.9,0.195,124,0.806,439,0.453,203,0.305,0.491,11.4,2.5,4.6,6.5,33.5,7.2,1.3,0.17
Reggie Evans,Lac,PF,31,56,13.6,28,8.9,0.299,71,0.507,72,0.472,0,0,0.504,1.9,4.8,21.2,0.3,3.1,4.1,0.55,0.11
Reggie Jackson,Okc,SG,21,45,11,22.5,19,0.173,29,0.862,97,0.392,62,0.21,0.408,3.1,1.2,6.1,1.6,21.6,6.6,0.56,0.02
Reggie Williams,Cha,SF,25,33,22.4,46.4,19.1,0.108,40,0.725,149,0.49,107,0.308,0.501,8.3,2.8,7.2,1.8,14.8,6.2,0.61,0.09
Richard Hamilton,Chi,SG,33,28,24.7,50.7,24.7,0.131,37,0.784,264,0.466,46,0.37,0.5,11.6,2.4,5.3,3,21.3,7.1,0.43,0.04
Richard Jefferson,San,SF,31,41,28.3,58.3,14.7,0.086,50,0.7,129,0.403,190,0.421,0.556,9.2,3.5,7.1,1.3,6.7,4.9,0.61,0.29
