FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,VI,SPG,BPG
Randy Foye,Lac,PG,27,63,24.4,50.3,20,0.137,149,0.893,314,0.43,217,0.327,0.516,9.8,1.6,3.9,2.7,17.7,5.7,0.75,0.33
Rudy Gay,Mem,SF,24,54,39.6,81.3,23.4,0.122,241,0.805,725,0.486,144,0.396,0.548,19.8,6.2,9.4,2.8,11.6,7.1,1.69,1.07
Ryan Gomes,Lac,PF,28,76,27.4,56.5,12.8,0.092,85,0.718,294,0.459,211,0.341,0.504,7.2,3.3,7.1,1.6,8.7,4.9,0.82,0.17
Richard Hamilton,Det,SG,32,55,27,55.5,26.2,0.105,172,0.849,527,0.442,144,0.382,0.52,14.1,2.3,5.2,3.1,20,6.9,0.71,0.07
Roy Hibbert,Ind,C,24,81,27.5,57,23.7,0.155,275,0.745,886,0.463,4,0,0.507,12.7,7.5,15.2,2,13,8.4,0.41,1.73
Ryan Hollins,Cle,PF,26,70,16.7,34.6,13.9,0.187,163,0.681,219,0.598,0,0,0.642,5.3,2.7,9.2,0.4,3.6,4.3,0.31,0.6
Richard Jefferson,San,SF,30,81,30.1,62.5,15.4,0.112,195,0.759,335,0.504,307,0.44,0.612,11,3.8,7.4,1.3,6.5,5,0.47,0.42
Rashard Levis,Orl,SF,31,25,32.2,65.5,18.7,0.108,45,0.756,150,0.46,120,0.367,0.524,12.2,4.2,7.7,1.2,5.9,4.9,0.88,0.4
Rashard Levis,Was,SF,31,32,31.5,63.6,16.9,0.135,51,0.843,188,0.511,124,0.347,0.544,11.4,5.8,10.4,2,10,6.5,0.94,0.63
Robin Lopez,Pho,C,22,67,14.6,29.7,20.8,0.107,100,0.74,357,0.501,0,0,0.539,6.4,3.2,12.7,0.1,1.3,3.5,0.27,0.67
Roger Mason Jr.,Nyk,SG,30,26,12,24.7,12.4,0.069,10,0.7,33,0.303,44,0.364,0.461,2.9,1.7,7.8,0.8,9.4,5.3,0.23,0.08
Ronnie Price,Uta,PG,27,59,12,24.6,18.3,0.195,39,0.744,141,0.383,69,0.29,0.434,3.3,1,5.2,0.9,11.9,4.8,0.71,0.08
Rajon Rondo,Bos,PG,24,68,36.9,76.5,18.3,0.243,132,0.568,626,0.49,43,0.233,0.494,10.6,4.3,7.2,11.2,47.4,8.7,2.18,0.16
Ramon Sessions,Cle,PG,24,81,26.1,54.2,24.4,0.156,423,0.823,761,0.472,15,0.2,0.559,13.3,3.1,6.9,5.2,35.4,9.2,0.74,0.1
Rodney Stuckey,Det,PG,24,70,31,63.8,24.7,0.135,381,0.866,737,0.457,90,0.289,0.544,15.5,3.1,6.1,5.2,27.7,8.1,1.09,0.14
Ronny Turiaf,Nyk,C,28,64,17.6,36.5,9.7,0.166,98,0.622,163,0.632,0,0,0.648,4.2,3.2,10.5,1.4,11.6,6,0.55,1.14
Russell Westbrook,Okc,PG,22,82,34.5,70.7,31.8,0.159,631,0.842,1286,0.451,104,0.327,0.538,21.9,4.6,7.8,8.2,43.1,10.9,1.89,0.35
Reggie Williams,Gol,SF,24,80,20.1,41.6,18.8,0.083,134,0.746,331,0.502,240,0.425,0.586,9.2,2.7,7.6,1.5,11.6,6.6,0.35,0.04
Shane Battier,Hou,SF,32,59,30.6,62.9,12.3,0.125,76,0.645,183,0.536,225,0.391,0.577,8.6,4.7,8.8,2.6,12.2,6.2,0.88,1.2
Shane Battier,Mem,SF,32,23,24,48.3,10.2,0.129,17,0.882,59,0.492,42,0.333,0.53,5,4,10,1.4,8,5.1,0.7,0.43
Steve Blake,Lal,PG,30,79,19.8,41,11.4,0.186,30,0.867,113,0.327,193,0.378,0.5,4,2,5.6,2.2,15.1,5.3,0.51,0.04
Shannon Brown,Lal,SG,25,82,18.9,39.1,22.4,0.098,101,0.911,431,0.462,212,0.349,0.518,8.7,1.9,5.7,1.2,10.1,5.7,0.82,0.2
Stephen Curry,Gol,PG,22,74,33.5,69.1,24.6,0.164,227,0.934,711,0.498,342,0.442,0.595,18.6,3.9,6.5,5.8,28.2,8.9,1.47,0.27
Samuel Dalembert,Sac,C,29,80,24,49.5,17.2,0.173,148,0.73,565,0.474,2,0,0.509,8.1,8.2,19.5,0.8,5.4,6.3,0.45,1.46
Semih Erden,Bos,C,24,37,14.1,29.1,14,0.209,54,0.63,97,0.598,0,0,0.621,4.1,2.9,12.6,0.5,5.6,5.1,0.35,0.57
Sundiata Gaines,Njn,PG,24,10,14.4,26.4,22.5,0.186,20,0.55,31,0.516,17,0.235,0.484,5.5,2.4,9.9,2.5,29.4,8.9,0.9,0
Stephen Graham,Njn,SF,28,59,16.1,32.7,12.5,0.149,38,0.816,179,0.425,21,0.238,0.457,3.4,2,7.5,0.7,6.6,4.2,0.24,0.02
Spencer Hawes,Phi,PF,22,81,21,43.2,19,0.138,88,0.534,531,0.48,37,0.243,0.481,7.2,5.7,15.7,1.5,11.3,7.5,0.36,0.88
Serge Ibaka,Okc,PF,21,82,26.8,55,15.9,0.092,184,0.75,616,0.544,1,0,0.579,9.9,7.6,16.6,0.3,1.6,4.2,0.38,2.43
Stephen Jackson,Cha,SF,32,67,35.7,73.8,27.5,0.149,305,0.816,700,0.449,359,0.337,0.52,18.5,4.5,7.7,3.6,18.5,7.5,1.19,0.42
Solomon Jones,Ind,C,26,39,13.3,27.5,15.6,0.191,62,0.661,120,0.408,1,0,0.469,3.6,2.9,12.1,0.8,8.7,6.1,0.31,0.56
Shaun Livingston,Cha,PG,25,73,17.1,35.3,20.3,0.163,125,0.864,393,0.468,4,0.25,0.53,6.6,2,7.2,2.2,22.8,7.2,0.64,0.4
Shawn Marion,Dal,SF,32,80,28,58.2,21.7,0.125,164,0.768,802,0.535,32,0.156,0.551,12.5,6.9,14.4,1.4,8.4,7.1,0.85,0.63
Steve Nash,Pho,PG,36,75,33.1,67.7,21.6,0.224,249,0.912,606,0.525,205,0.395,0.601,14.7,3.5,6.1,11.4,53.5,10.1,0.64,0.07
Shaquille OÕNeal,Bos,C,38,37,20.1,41.5,20.3,0.178,131,0.557,201,0.667,0,0,0.659,9.2,4.8,14.7,0.7,5.7,6.2,0.43,1.14
Sasha Pavlovic,Dal,SF,27,10,16.1,33.3,12.2,0.118,5,0.8,19,0.421,16,0.438,0.551,4.1,1.2,4.3,0.7,6.3,3.8,0.5,0.3
Samardo Samuels,Cle,PF,21,37,18.8,38.8,22.3,0.155,110,0.618,238,0.462,3,0,0.498,7.8,4.2,13,0.5,4.3,5.4,0.41,0.49
Sebastian Telfair,Min,PG,25,37,19,39.2,20.1,0.193,60,0.733,163,0.423,78,0.359,0.497,7.2,1.5,4.3,3,24.5,6.7,0.68,0.08
