FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,
Kevin Durant,Okc,SF,27,72,35.8,74.6,30.6,0.135,498,0.898,900,0.569,481,0.387,0.634,28.2,8.2,12.4,5,24.2,0.96,1.18,11.7,
Kevin Garnett,Min,PF,39,38,14.6,30.5,11.3,0.114,21,0.667,114,0.474,1,0,0.491,3.2,3.9,15.7,1.6,16.4,0.74,0.26,7.4,
Kevin Love,Cle,PF,27,77,31.5,65.6,23.4,0.113,314,0.822,538,0.467,439,0.36,0.553,16,9.9,17.8,2.4,12.2,0.75,0.53,9.2,
Kevin Martin,Min,SG,32,39,21.4,44.6,23.5,0.094,142,0.88,231,0.381,103,0.369,0.523,10.6,2.1,5.6,1.2,8.8,0.44,0.03,5.6,
Kevin Martin,San,SG,32,16,16.3,33.9,19.5,0.117,30,0.933,53,0.358,32,0.344,0.504,6.2,1.8,6.3,0.8,6.4,0.56,0.13,5.1,
Kevin Seraphin,Nyk,C,26,48,11,22.9,22.2,0.167,23,0.826,203,0.414,2,0,0.435,3.9,2.6,13.1,1,14.8,0.17,0.75,7.9,
Khris Middleton,Mil,SG,24,79,36.1,75.2,23.1,0.123,312,0.888,781,0.466,362,0.395,0.56,18.2,3.8,6,4.2,18.9,1.66,0.24,7.3,
Kirk Hinrich,Chi,SG-PG,35,35,15.9,33,12,0.178,16,0.938,62,0.387,56,0.411,0.528,3.8,1.7,5.5,1.7,15,0.37,0.03,5.6,
Kirk Hinrich,Atl,SG-PG,35,11,6.9,14.4,8.2,0.214,0,0,5,0.2,6,0.167,0.227,0.5,1.1,8.6,1.3,23.9,0.18,0.09,5.2,
KJ McDaniels,Hou,SG,22,37,6.4,13.3,18.7,0.166,30,0.8,47,0.468,25,0.28,0.522,2.4,1.1,9.8,0.3,6.5,0.19,0.16,5.8,
Klay Thompson,Gol,SG,25,80,33.3,69.4,26.3,0.085,221,0.873,736,0.51,650,0.425,0.597,22.1,3.8,6.2,2.1,9.8,0.75,0.61,6.7,
Kobe Bryant,Lal,SF,37,66,28.2,58.8,32.2,0.094,281,0.826,646,0.41,467,0.285,0.469,17.6,3.7,7.1,2.8,19.1,0.94,0.2,8,
Kosta Koufos,Sac,PF,26,78,19,39.6,15.4,0.089,104,0.548,443,0.53,0,0,0.539,6.8,5.4,15.4,0.4,3.3,0.51,0.9,5.2,
Kostas Papanikolaou,Den,SF,25,26,11.3,23.6,13.9,0.225,14,0.643,34,0.412,32,0.313,0.464,2.6,1.5,7.5,0.6,7.8,0.5,0.19,4.7,
Kris Humphries,Was,PF,30,28,16.6,34.6,18,0.104,31,0.935,91,0.451,67,0.343,0.524,6.4,4.1,13.8,0.6,5,0.11,0.5,6,
Kris Humphries,Pho,PF,30,4,18.6,38.6,24.9,0.092,8,0.75,26,0.269,10,0.3,0.367,7.3,8,23.4,1.8,14.8,0.75,0.5,10.1,
Kris Humphries,Atl,PF,30,21,14.1,29.3,20.5,0.104,45,0.711,70,0.557,31,0.258,0.555,6.4,3.4,13.2,0.6,6.9,0.48,0.38,6.7,
Kristaps Porzingis,Nyk,PF,20,72,28.4,59.2,24.6,0.109,240,0.838,643,0.454,243,0.333,0.518,14.3,7.3,14,1.3,7.9,0.74,1.86,7.2,
Kyle Anderson,San,SF,22,78,16,33.3,14.4,0.151,83,0.747,258,0.488,37,0.324,0.528,4.5,3.1,11.2,1.6,13.7,0.77,0.37,7,
Kyle Korver,Atl,SG,34,80,30,62.5,13.8,0.133,54,0.833,220,0.5,396,0.399,0.578,9.2,3.2,5.9,2.1,10,0.76,0.43,5.3,
Kyle Lowry,Tor,PG,29,77,37,77.1,26.1,0.137,491,0.811,651,0.461,547,0.388,0.578,21.2,4.7,7.3,6.4,29.9,2.05,0.44,9.3,
Kyle O’Quinn,Nyk,PF,25,65,11.8,24.5,21.2,0.17,60,0.767,249,0.498,22,0.227,0.52,4.8,3.8,17.9,1.1,15.9,0.31,0.75,9.2,
Kyle Singler,Okc,SF,27,68,14.4,29.9,11.9,0.117,44,0.659,124,0.452,97,0.309,0.481,3.4,2.1,7.9,0.4,3.2,0.44,0.13,3.9,
Kyrie Irving,Cle,PG,23,53,31.5,65.5,29.5,0.114,191,0.885,619,0.501,260,0.323,0.54,19.6,2.9,5.3,4.7,26.6,1.06,0.34,8.2,
Lamar Patterson,Atl,SG,24,35,11.3,23.5,12.8,0.204,22,0.727,31,0.516,49,0.245,0.468,2.4,1.4,6.9,1.1,13.6,0.26,0.06,5.5,
LaMarcus Aldridge,San,PF,30,74,30.6,63.7,25.9,0.078,302,0.858,1029,0.521,16,0,0.565,18,8.5,15.9,1.5,8.1,0.51,1.09,8,
Lance Stephenson,Lac,SF,25,43,15.8,33,15.1,0.211,30,0.7,119,0.529,47,0.404,0.569,4.7,2.5,8.6,1.4,13.1,0.56,0.07,6.4,
Lance Stephenson,Mem,SF,25,26,26.6,55.4,25.3,0.118,81,0.815,277,0.487,31,0.355,0.537,14.2,4.4,9.5,2.8,19.2,0.73,0.23,8.4,
Lance Thomas,Nyk,SF,27,59,22.3,46.4,16.9,0.116,119,0.857,273,0.458,109,0.404,0.557,8.2,2.2,5.4,0.9,6.4,0.37,0.12,4.5,
Langston Galloway,Nyk,PG,24,82,24.8,51.7,15.6,0.087,114,0.754,364,0.423,224,0.344,0.49,7.6,3.5,7.7,2.5,15.7,0.94,0.27,6.5,
Larry Nance Jr.,Lal,PF,23,63,20.1,41.9,12.6,0.113,47,0.681,290,0.541,10,0.1,0.544,5.5,5,13.3,0.7,5.7,0.86,0.37,5.3,
Lavoy Allen,Ind,PF,26,79,20.2,42.2,13,0.146,73,0.63,370,0.516,0,0,0.532,5.4,5.4,14.5,1,7.1,0.33,0.53,6.1,
Leandro Barbosa,Gol,SG,33,68,15.9,33.1,18.1,0.118,62,0.839,260,0.508,110,0.355,0.545,6.4,1.7,5.8,1.2,10.6,0.65,0.15,5.9,
LeBron James,Cle,SF,31,76,35.6,74.2,31.4,0.132,491,0.731,1134,0.573,282,0.309,0.588,25.3,7.4,11.8,6.7,35.9,1.37,0.64,12.1,
Lorenzo Brown,Pho,PG,25,8,7.6,15.8,25.1,0.252,4,0.75,17,0.412,8,0.125,0.374,2.5,0.9,6.3,1.4,28.2,0.38,0.13,7.7,
Lou Amundson,Nyk,PF,33,29,7,14.7,17.7,0.188,27,0.519,53,0.358,0,0,0.401,1.8,1.7,13.1,0.4,8.8,0.21,0.24,6.1,
Lou Williams,Lal,SG,29,67,28.5,59.3,22.7,0.108,424,0.83,373,0.464,320,0.344,0.584,15.3,2.5,4.8,2.5,15.1,0.93,0.28,6.4,
Luc Mbah a Moute,Lac,PF,29,75,17,35.4,9.4,0.128,57,0.526,167,0.485,40,0.325,0.498,3.1,2.3,7.3,0.4,3.3,0.59,0.25,3.3,
Lucas Nogueira,Tor,C,23,29,7.7,16.1,12.5,0.179,15,0.533,41,0.659,3,0.333,0.642,2.2,1.6,12,0.2,4.9,0.41,0.41,4.6,
Luis Scola,Tor,PF,35,76,21.5,44.9,19.5,0.097,84,0.726,437,0.467,161,0.404,0.523,8.7,4.8,12.6,0.9,6.8,0.61,0.36,6.2,
Luke Babbitt,Nor,SF,26,47,18,37.5,17.5,0.069,50,0.78,180,0.433,109,0.404,0.526,7,3.1,9.7,1.1,9.6,0.23,0.15,6.4,
Luol Deng,Mia,SF,30,74,32.4,67.4,17.4,0.088,192,0.755,489,0.513,256,0.344,0.549,12.3,6,10.5,1.9,9,1,0.39,6.4,
Manu Ginobili,San,SG,38,58,19.6,40.7,23.6,0.17,112,0.813,256,0.496,179,0.391,0.573,9.6,2.5,7.3,3.1,23.6,1.14,0.19,8.6,
Marc Gasol,Mem,C,31,52,34.4,71.8,23.4,0.127,245,0.829,704,0.463,3,0.667,0.528,16.6,7,11.5,3.8,18.9,0.96,1.35,8.9,
Marcelo Huertas,Lal,PG,32,53,16.4,34.2,16.3,0.248,29,0.931,169,0.479,61,0.262,0.488,4.5,1.7,5.6,3.4,33.9,0.49,0.13,7.2,
Marcin Gortat,Was,C,31,75,30.1,62.7,18.9,0.124,207,0.705,763,0.567,1,0,0.592,13.5,9.9,18.4,1.4,7.5,0.63,1.28,7.6,
Marco Belinelli,Sac,SG,29,68,24.6,51.2,19.7,0.103,138,0.833,338,0.456,297,0.306,0.5,10.2,1.7,3.8,1.9,11.1,0.54,0.03,5.2,
Marcus Morris,Det,SF,26,80,35.7,74.4,18.4,0.116,271,0.749,648,0.466,297,0.364,0.531,14.1,5.1,7.7,2.5,11,0.84,0.29,6.3,
Marcus Smart,Bos,PG,21,61,27.3,56.9,17.4,0.117,166,0.777,288,0.427,241,0.253,0.463,9.1,4.2,8.1,3,15.8,1.49,0.3,7.1,
Marcus Thornton,Hou,SG,28,47,18.8,39.2,24.4,0.08,58,0.879,219,0.461,216,0.338,0.512,10,2.4,7.2,1.4,12.8,0.72,0.06,6.9,
Marcus Thornton,Was,SG,28,14,16,33.3,24.9,0.086,21,0.762,52,0.462,55,0.327,0.508,8.4,2.5,8.8,1.4,13.5,0.93,0.07,7.7,
Mario Chalmers,Mem,PG,29,55,22.8,47.5,22.3,0.164,249,0.827,274,0.464,138,0.326,0.57,10.8,2.6,6.5,3.8,27,1.45,0.22,8.3,
Mario Chalmers,Mia,PG,29,6,20,41.6,17.8,0.193,13,0.923,21,0.429,11,0.091,0.437,5.5,2.3,6.6,3.2,22.3,1.33,0.17,6.9,
Mario Hezonja,Orl,SF,20,79,17.9,37.3,16.9,0.18,54,0.907,226,0.504,192,0.349,0.541,6.1,2.2,6.9,1.4,11.2,0.49,0.22,5.9,
Markel Brown,Bro,SG,24,62,15.8,33,18.9,0.129,94,0.755,201,0.443,121,0.314,0.5,5.9,2,7,1.5,13.9,0.61,0.24,6.6,
Markieff Morris,Pho,PF,26,37,24.8,51.6,26,0.16,92,0.717,355,0.42,76,0.289,0.456,11.6,5.2,11.5,2.4,16.1,0.89,0.46,8.5,
Markieff Morris,Was,PF,26,27,26.4,54.9,21.9,0.126,55,0.764,208,0.524,79,0.316,0.538,12.4,5.9,12.4,1.4,8.2,0.93,0.63,7.1,
Marreese Speights,Gol,PF,28,72,11.6,24.1,29.7,0.115,114,0.825,394,0.439,62,0.387,0.506,7.1,3.3,15.5,0.8,11.4,0.26,0.47,9.2,
Marvin Williams,Cha,PF,29,81,28.9,60.1,16.8,0.071,144,0.833,369,0.504,378,0.402,0.585,11.7,6.4,12.2,1.4,7.6,0.72,0.95,6.5,
Mason Plumlee,Por,C,25,82,25.4,52.9,17.1,0.188,335,0.642,513,0.52,4,0,0.564,9.1,7.7,16.3,2.8,16.2,0.83,1.02,9.2,
Matt Barnes,Mem,SF,35,76,28.8,60,17.9,0.138,138,0.804,323,0.449,370,0.322,0.503,10,5.5,10.9,2.1,11.6,1.03,0.75,6.8,
Matt Bonner,San,C,35,30,6.9,14.3,13.7,0.049,4,0.75,23,0.609,34,0.441,0.647,2.5,0.9,7.5,0.3,6.3,0.2,0.03,5.1,
Matthew Dellavedova,Cle,SG,25,76,24.6,51.2,15.9,0.177,66,0.864,272,0.401,239,0.41,0.527,7.5,2.1,4.9,4.4,26.2,0.58,0.12,6.7,
Maurice Harkless,Por,SF,22,78,18.7,38.9,15.6,0.119,111,0.622,271,0.576,140,0.279,0.541,6.4,3.6,10.4,0.9,6.9,0.63,0.45,5.9,
Metta World Peace,Lal,SF,36,35,16.9,35.1,16.2,0.069,57,0.702,93,0.312,84,0.31,0.435,5,2.5,8.1,0.8,7.2,0.63,0.31,5.1,
Meyers Leonard,Por,PF,23,61,21.8,45.5,17.4,0.145,46,0.761,207,0.527,228,0.377,0.561,8.4,5.1,12.8,1.5,10.6,0.13,0.3,7.3,
Michael Beasley,Hou,SF,27,20,18.1,37.8,29.7,0.096,49,0.776,196,0.531,9,0.333,0.563,12.8,4.9,14.9,0.8,9.1,0.55,0.45,8.2,
Michael Carter-Williams,Mil,PG,24,54,30.5,63.6,21.3,0.197,160,0.663,500,0.472,55,0.273,0.498,11.5,5.1,9.6,5.2,26.6,1.48,0.76,8.8,
Michael Kidd-Gilchrist,Cha,SF,22,7,29.3,61,18,0.098,29,0.69,54,0.556,7,0.429,0.603,12.7,6.4,12,1.3,7.3,0.43,0.43,6.5,
Mike Conley,Mem,PG,28,56,31.4,65.5,22.4,0.095,229,0.834,481,0.449,215,0.363,0.538,15.3,2.9,5.3,6.1,32.7,1.2,0.29,8.2,
Mike Dunleavy,Chi,SF,35,31,22.7,47.2,14.4,0.113,37,0.784,89,0.427,99,0.394,0.543,7.2,2.7,6.2,1.3,8.1,0.45,0.32,5.2,
Mike Miller,Den,SF,35,47,7.9,16.5,9.3,0.215,0,0,10,0.3,52,0.365,0.508,1.3,1.1,7.9,0.9,14.9,0.28,0.09,5.5,
Mike Muscala,Atl,PF,24,60,9.4,19.6,15.5,0.138,39,0.795,113,0.566,39,0.308,0.576,3.3,2,11.3,0.6,9.1,0.22,0.45,6.7,
Mike Scott,Atl,PF,27,75,15.3,31.8,17.4,0.094,63,0.794,218,0.523,158,0.392,0.575,6.2,2.7,9.8,1,10.6,0.33,0.23,6.7,
Miles Plumlee,Mil,C,27,61,14.3,29.7,15.5,0.134,59,0.576,233,0.601,0,0,0.606,5.1,3.8,15.2,0.3,2.9,0.34,0.82,5,
Mirza Teletovic,Pho,PF,30,79,21.3,44.5,23.4,0.09,155,0.774,317,0.476,460,0.393,0.571,12.2,3.8,9.7,1.1,9.3,0.41,0.27,7,
Mo Williams,Cle,PG,33,41,18.2,38,22.8,0.151,42,0.905,200,0.48,102,0.353,0.527,8.2,1.8,5.4,2.4,21.1,0.34,0.12,7.2,
Monta Ellis,Ind,SG,30,81,33.8,70.3,21.2,0.154,206,0.786,740,0.472,281,0.31,0.504,13.8,3.3,5.4,4.7,22.2,1.85,0.46,7.1,
Montrezl Harrell,Hou,PF,22,39,9.7,20.2,14.5,0.134,46,0.522,89,0.652,1,0,0.635,3.6,1.7,9.5,0.4,7.2,0.28,0.28,5.6,
Myles Turner,Ind,C,19,60,22.8,47.5,20.9,0.103,121,0.727,517,0.505,13,0.231,0.531,10.3,5.5,13.3,0.7,5,0.42,1.43,6,
Nate Robinson,Nor,PG,31,2,11.7,24.3,1.9,0,0,0,0,0,1,0,0,0,0,0,2,21.5,0.5,0,0,
Nemanja Bjelica,Min,PF,27,60,17.9,37.3,12.8,0.153,55,0.727,110,0.564,125,0.384,0.594,5.1,3.5,11.3,1.4,11.4,0.43,0.35,6.5,
Nene,Was,PF,33,57,19.2,40,21.6,0.14,185,0.578,381,0.549,3,0,0.564,9.2,4.5,13.2,1.7,14.1,0.95,0.46,8.6,
Nerlens Noel,Phi,PF,21,67,29.3,61.1,18.8,0.187,227,0.59,585,0.521,2,0.5,0.544,11.1,8.1,15,1.8,10.4,1.76,1.49,7.4,
Nick Collison,Okc,PF,35,59,11.9,24.7,10.6,0.288,33,0.697,107,0.467,2,0,0.498,2.1,2.9,13.3,0.9,9.5,0.25,0.27,5.9,
Nick Young,Lal,SG,30,54,19.1,39.9,18.5,0.069,76,0.829,135,0.363,237,0.325,0.483,7.3,1.8,5,0.6,5.4,0.43,0.13,4.2,
Nicolas Batum,Cha,SG,27,70,35,72.8,21.4,0.176,192,0.849,474,0.492,399,0.348,0.546,14.9,6.1,9.6,5.8,26.9,0.93,0.61,9.2,
Nik Stauskas,Phi,SG,22,73,24.8,51.6,16.7,0.136,118,0.771,220,0.473,325,0.326,0.517,8.5,2.5,5.5,1.9,12,0.6,0.27,5.5,
Nikola Jokic,Den,C,20,80,21.7,45.1,19.9,0.132,190,0.811,516,0.541,84,0.333,0.582,10,7,17.9,2.4,18.1,0.99,0.63,10.2,
Nikola Mirotic,Chi,PF,24,66,24.9,52,21.1,0.129,181,0.807,263,0.43,346,0.39,0.564,11.8,5.5,11.6,1.5,9.4,0.88,0.7,7.4,
Nikola Pekovic,Min,C,30,12,13,27.1,19.4,0.133,20,0.8,50,0.38,0,0,0.459,4.5,1.8,7.8,0.9,10.7,0.08,0,6,
Nikola Vucevic,Orl,C,25,65,31.3,65.3,26.8,0.1,150,0.753,1037,0.512,9,0.222,0.531,18.2,8.8,15.6,2.8,15.9,0.82,1.08,9.8,
Noah Vonleh,Por,PF,20,78,15,31.3,13,0.143,51,0.745,232,0.457,46,0.239,0.471,3.6,3.9,14.1,0.4,3.7,0.35,0.33,4.7,
Norman Powell,Tor,SG,22,49,14.8,30.8,17.8,0.113,53,0.811,141,0.433,88,0.409,0.541,5.6,2.3,8.8,1,10.3,0.59,0.2,6.3,
Norris Cole,Nor,PG,27,45,26.6,55.5,21.7,0.128,65,0.8,382,0.427,102,0.324,0.465,10.6,3.4,7,3.7,22,0.82,0.11,7.7,
O.J. Mayo,Mil,SG,28,41,26.6,55.4,17,0.175,40,0.775,159,0.421,162,0.321,0.474,7.8,2.6,5.5,2.9,15.8,1.17,0.2,5.8,
Omer Asik,Nor,C,29,68,17.3,36.1,11.4,0.197,112,0.545,195,0.533,0,0,0.551,4,6.1,19.5,0.4,3.1,0.31,0.34,4.9,
Omri Casspi,Sac,SF,27,69,27.3,56.8,17.8,0.119,159,0.648,349,0.539,274,0.409,0.588,11.8,5.9,11.8,1.4,7.5,0.81,0.25,6.7,
Orlando Johnson,Pho,SG,26,2,23.7,49.4,19.4,0.046,6,0.833,13,0.308,5,0.2,0.388,8,4.5,10.3,0,0,1,1.5,0,
Orlando Johnson,Nor,SG,26,5,10.9,22.6,17,0.144,2,0.5,12,0.25,5,0.2,0.28,2,1.2,6.1,0.4,5.1,0.2,0,3.6,
Otto Porter,Was,SF,22,75,30.3,63.2,16.2,0.083,126,0.754,450,0.536,267,0.367,0.564,11.6,5.2,9.6,1.6,7.9,1.4,0.43,6.1,
Pablo Prigioni,Lac,PG,38,59,13.9,29,11,0.246,8,0.875,52,0.519,95,0.295,0.482,2.5,1.9,7.6,2.2,21.8,0.9,0.02,6.3,
Patrick Beverley,Hou,PG,27,71,28.7,59.9,15.3,0.126,88,0.682,284,0.472,310,0.4,0.553,9.9,3.5,6.8,3.4,17.9,1.32,0.37,6.8,
Patrick Patterson,Tor,PF,26,79,25.6,53.3,12.9,0.113,34,0.853,200,0.49,293,0.362,0.534,6.9,4.3,9.7,1.2,7.1,0.67,0.41,5.1,
Patty Mills,San,PG,27,81,20.5,42.7,19.7,0.107,58,0.81,292,0.469,320,0.384,0.541,8.5,2,5.4,2.8,20.1,0.73,0.07,7.1,
Pau Gasol,Chi,C,35,72,31.8,66.3,24.6,0.128,289,0.792,926,0.478,69,0.348,0.529,16.5,11,18.2,4.1,21.7,0.58,2.03,11.4,
Paul George,Ind,PF,25,81,34.8,72.5,30.4,0.136,528,0.86,883,0.447,566,0.371,0.557,23.1,7,10.9,4.1,20.3,1.88,0.36,10,
Paul Millsap,Atl,PF,30,81,32.7,68.1,24.3,0.133,408,0.757,835,0.511,232,0.319,0.556,17.1,9,15.1,3.3,16.5,1.81,1.72,9.8,
Paul Pierce,Lac,SF,38,68,18.1,37.7,17.8,0.12,66,0.818,155,0.445,242,0.31,0.489,6.1,2.7,8.2,1,8.5,0.49,0.25,5.6,
Phil Pressey,Phi,PG,24,14,12.1,25.3,21.1,0.232,18,0.5,42,0.405,13,0.308,0.437,3.9,1.6,7.4,3.3,43.2,0.79,0.07,9.1,
Phil Pressey,Pho,PG,24,9,12.6,26.3,14.7,0.358,7,0.571,18,0.5,4,0,0.439,2.4,0.9,3.8,3.1,35.5,0.78,0.33,6,
PJ Hairston,Cha,SF,23,48,19.5,40.7,15.3,0.075,42,0.81,104,0.433,172,0.314,0.486,6,2.7,7.5,0.6,4.7,0.5,0.15,4.4,
PJ Hairston,Mem,SF,23,18,20.9,43.5,19,0.107,22,0.727,63,0.476,69,0.232,0.438,6.9,2.6,7,0.5,3.8,0.44,0.22,4,
PJ Tucker,Pho,SF,30,82,31,64.5,12.7,0.147,142,0.746,376,0.455,206,0.33,0.506,8,6.2,10.9,2.2,10.2,1.29,0.24,6.2,
Quincy Acy,Sac,PF,25,59,14.8,30.9,13.1,0.1,68,0.735,165,0.606,49,0.388,0.629,5.2,3.2,11.6,0.5,4.4,0.49,0.41,5.5,
Rajon Rondo,Sac,PG,29,72,35.2,73.4,18.8,0.247,150,0.58,612,0.479,170,0.365,0.506,11.9,6,9.3,11.7,48,1.96,0.14,10.7,
Ramon Sessions,Was,PG,29,82,20.3,42.4,21.8,0.138,283,0.756,481,0.507,111,0.324,0.565,9.9,2.5,6.8,2.9,22,0.56,0.06,8.2,
Randy Foye,Den,SG,32,54,19.8,41.3,16.8,0.141,47,0.83,164,0.409,169,0.296,0.457,6,1.9,5.4,2.1,15.6,0.48,0.3,5.8,
Randy Foye,Okc,SG,32,27,21.2,44.1,14.1,0.148,27,0.815,68,0.397,81,0.309,0.469,5.6,1.9,4.9,1.8,11.3,0.48,0.48,5,
Rashad Vaughn,Mil,SG,19,70,14.3,29.8,13.5,0.093,15,0.8,119,0.319,147,0.293,0.398,3.1,1.3,5,0.6,5.5,0.41,0.23,3.8,
Rasual Butler,San,SF,36,46,9.4,19.5,12.6,0.067,16,0.688,55,0.618,49,0.306,0.558,2.7,1.2,7.4,0.5,7.7,0.28,0.5,5,
Raul Neto,Uta,PG,23,81,18.5,38.5,17.2,0.195,70,0.743,256,0.453,162,0.395,0.53,5.9,1.5,4.7,2.1,18.7,0.77,0.02,5.7,
Ray McCallum,San,PG,24,31,8.3,17.2,14.7,0.133,10,0.9,51,0.431,16,0.313,0.476,2.2,1,6.9,1.1,17.7,0.16,0.13,6.5,
Ray McCallum,Mem,PG,24,10,21.9,45.5,19.3,0.138,5,0.6,53,0.34,26,0.385,0.425,6.9,1.6,4.2,2.7,19.5,0.7,0.3,5.7,
Raymond Felton,Dal,PG,31,80,27.4,57.1,18.4,0.137,176,0.847,469,0.463,213,0.282,0.502,9.5,3.2,6.5,3.6,20.3,0.85,0.19,7,
Reggie Bullock,Det,SF,24,37,11.6,24.1,11.4,0.071,15,0.933,45,0.467,53,0.415,0.583,3.3,1.8,8.7,0.7,9.2,0.27,0.05,5.5,
Reggie Jackson,Det,PG,25,79,30.7,63.9,29.1,0.138,337,0.864,908,0.465,336,0.351,0.535,18.8,3.2,5.7,6.2,36.3,0.75,0.14,9.4,
Richard Jefferson,Cle,SF,35,74,17.9,37.3,13.4,0.109,87,0.667,139,0.554,173,0.382,0.585,5.5,1.7,5.5,0.8,6.4,0.45,0.19,4.4,
Richaun Holmes,Phi,PF,22,51,13.8,28.7,17.9,0.112,74,0.689,178,0.596,44,0.182,0.564,5.6,2.6,10.5,0.6,8,0.37,0.78,6,
Ricky Rubio,Min,PG,25,76,30.6,63.7,17.7,0.21,314,0.847,396,0.396,190,0.326,0.529,10.1,4.3,8.2,8.6,41.3,2.13,0.13,9.4,
RJ Hunter,Bos,SG,22,36,8.7,18.2,15.2,0.098,7,0.857,35,0.486,63,0.302,0.48,2.7,1,6.2,0.4,5.9,0.39,0.11,4.7,
Robert Covington,Phi,SF,25,67,28.4,59.2,21.5,0.153,177,0.791,230,0.452,482,0.353,0.543,12.8,6.3,12,1.4,8.4,1.57,0.6,6.8,
Robert Sacre,Lal,C,26,25,12.8,26.7,14.2,0.116,38,0.658,75,0.413,0,0,0.474,3.5,2.9,12.1,0.6,6.9,0.16,0.4,5.7,
Robin Lopez,Nyk,C,27,82,27.1,56.4,17.7,0.154,161,0.795,661,0.54,1,0,0.574,10.3,7.3,14.8,1.4,8.5,0.2,1.57,7,
Rodney Hood,Uta,SG,23,79,32.2,67,21.5,0.105,200,0.86,523,0.472,449,0.359,0.542,14.5,3.4,6.1,2.7,14.4,0.92,0.2,6.3,
Rodney Stuckey,Ind,PG,29,58,22,45.8,20.4,0.129,158,0.829,361,0.452,83,0.241,0.503,8.9,2.7,6.7,2.4,17.2,0.74,0.14,7,
Rondae Hollis-Jefferson,Bro,SF,21,29,21.2,44.2,13.5,0.139,52,0.712,124,0.476,14,0.286,0.519,5.8,5.3,14,1.5,10.1,1.34,0.55,6.8,
Ronnie Price,Pho,PG,32,62,19.5,40.7,13.7,0.179,41,0.756,107,0.449,195,0.349,0.517,5.3,1.6,4.4,2.4,17.9,1.19,0.21,5.6,
Roy Hibbert,Lal,C,29,81,23.2,48.3,12.9,0.138,145,0.807,409,0.445,2,0,0.507,5.9,4.9,11.4,1.2,8,0.4,1.36,5.6,
Rudy Gay,Sac,SF,29,70,34,70.8,22.5,0.111,254,0.78,792,0.495,215,0.344,0.538,17.2,6.5,10.4,1.7,8,1.43,0.73,6.8,
Rudy Gobert,Uta,C,23,61,31.7,66,14.2,0.192,283,0.569,354,0.559,0,0,0.582,9.1,11,20.2,1.5,7.4,0.74,2.16,6.7,
Russell Westbrook,Okc,PG,27,80,34.4,71.6,31.6,0.168,573,0.812,1103,0.503,341,0.296,0.554,23.5,7.9,12.4,10.4,49.7,2.04,0.25,14.5,
Ryan Anderson,Nor,PF,27,66,30.4,63.4,24.7,0.08,228,0.873,572,0.465,357,0.367,0.546,17,6,10.9,1.1,6.1,0.58,0.38,6.3,
Ryan Hollins,Was,C,31,5,9.6,20,9.1,0.3,0,0,7,0.571,0,0,0.571,1.6,2.2,12.8,0,0,0,0.2,0,
Ryan Hollins,Mem,C,31,32,12.9,26.8,12.1,0.188,42,0.619,72,0.625,0,0,0.641,3.6,2.7,12,0.3,3.7,0.19,0.63,4.4,
Ryan Kelly,Lal,PF,24,36,13.1,27.2,17.8,0.094,54,0.685,112,0.446,37,0.135,0.44,4.2,3.4,13.8,0.6,6.9,0.36,0.28,6.2,
Salah Mejri,Dal,C,29,34,11.7,24.3,13.9,0.19,46,0.587,77,0.636,1,0,0.636,3.7,3.6,17,0.3,3.9,0.24,1,5.4,
Sasha Vujacic,Nyk,SG,31,61,14.9,31,16.9,0.13,39,0.821,134,0.403,143,0.364,0.503,4.9,2.4,9,1.4,14.3,0.56,0.08,6.8,
Sean Kilpatrick,Den,SG,26,8,10.3,21.4,15.2,0.14,8,0.875,4,1,17,0.235,0.551,3.4,0.8,4,0.4,5.4,0.25,0,4,
Sean Kilpatrick,Bro,SG,26,23,23.2,48.4,25.2,0.089,59,0.898,152,0.526,97,0.361,0.578,13.8,2.2,5.3,1.1,8.4,0.43,0.09,5.6,
Serge Ibaka,Okc,PF,26,78,32.1,66.8,17.6,0.105,121,0.752,684,0.52,184,0.326,0.534,12.6,6.8,11.6,0.8,3.9,0.49,1.9,5.1,
Sergey Karasev,Bro,SF,22,40,10,20.8,12.1,0.203,28,0.929,37,0.514,37,0.297,0.562,2.4,1.5,8.2,0.9,12.2,0.15,0.05,5.9,
Seth Curry,Sac,PG,25,44,15.7,32.8,17.4,0.127,54,0.833,113,0.46,111,0.45,0.603,6.8,1.4,4.7,1.5,14.2,0.5,0.07,6.2,
Shabazz Muhammad,Min,SG,23,82,20.5,42.7,22.8,0.082,242,0.764,529,0.516,152,0.289,0.548,10.5,3.3,9.2,0.6,5.2,0.29,0.09,5.4,
Shabazz Napier,Orl,PG,24,55,10.9,22.7,19.7,0.172,45,0.733,97,0.351,104,0.327,0.46,3.7,1,5.1,1.8,23.1,0.42,0.02,6.9,
Shane Larkin,Bro,PG,23,78,22.4,46.8,17.7,0.21,107,0.776,394,0.464,108,0.361,0.515,7.3,2.3,5.8,4.4,29.4,1.22,0.15,7.5,
Shaun Livingston,Gol,PG,30,78,19.5,40.6,14.2,0.157,93,0.86,367,0.548,12,0.167,0.581,6.3,2.2,6,3,21,0.73,0.35,7.1,
