FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,
Andre Miller,San,PG,39,13,13.9,29,16.7,0.183,13,0.692,44,0.5,4,0.25,0.521,4.3,2.1,8.5,2.2,22.7,0.54,0,7.8,
Andre Roberson,Okc,SG,24,70,22.2,46.2,9.1,0.105,54,0.611,171,0.608,103,0.311,0.566,4.8,3.6,8.8,0.7,4,0.76,0.6,4.1,
Andrea Bargnani,Bro,C,30,46,13.8,28.7,23.2,0.079,57,0.825,263,0.471,16,0.188,0.5,6.6,2.1,8.6,0.4,4.8,0.09,0.2,5.1,
Andrew Bogut,Gol,C,31,70,20.7,43.2,11.4,0.216,50,0.48,278,0.626,1,1,0.623,5.4,7,18.3,2.3,14.7,0.46,1.63,8.6,
Andrew Goudelock,Hou,PG,27,8,6.2,12.9,24.9,0.243,4,0.75,11,0.727,9,0.111,0.506,2.8,0.3,2.2,0.5,13.4,0.75,0.25,4.8,
Andrew Nicholson,Orl,PF,26,56,14.7,30.6,20.4,0.108,65,0.785,196,0.536,114,0.36,0.567,6.9,3.6,13.5,0.4,4.8,0.18,0.39,5.8,
Andrew Wiggins,Min,SG,20,81,35.1,73.2,27.2,0.106,565,0.761,1104,0.486,190,0.3,0.543,20.7,3.6,6,2,10.1,0.96,0.57,6,
Anthony Brown,Lal,SF,23,29,20.6,43,11,0.1,20,0.85,56,0.339,70,0.286,0.427,4,2.4,6.3,0.7,4.8,0.48,0.17,3.7,
Anthony Davis,Nor,PF,22,61,35.5,73.9,29.6,0.084,430,0.758,1028,0.511,108,0.324,0.559,24.3,10.3,16.1,1.9,10,1.28,2.05,8.8,
Anthony Morrow,Okc,SG,30,68,13.6,28.4,16.9,0.046,39,0.744,128,0.445,205,0.385,0.543,5.6,0.9,3.6,0.4,3.7,0.32,0.07,3.7,
Anthony Tolliver,Det,PF,30,72,18.6,38.8,12.4,0.073,47,0.617,61,0.492,272,0.36,0.541,5.3,3.2,9.3,0.7,5.6,0.36,0.22,4.9,
Archie Goodwin,Pho,SG,21,57,19.5,40.7,23.2,0.165,193,0.674,323,0.474,99,0.232,0.498,8.9,2.5,6.9,2.1,17.2,0.47,0.23,7.4,
Aron Baynes,Det,C,29,81,15.2,31.7,18.5,0.128,165,0.764,382,0.508,2,0,0.563,6.3,4.7,17,0.6,6.6,0.26,0.64,6.9,
Arron Afflalo,Nyk,SG,30,71,33.4,69.6,17.9,0.087,131,0.84,561,0.469,238,0.382,0.531,12.8,3.7,6.1,2,9.9,0.35,0.14,5.5,
Austin Rivers,Lac,SG,23,67,21.8,45.5,19.4,0.097,116,0.681,331,0.495,185,0.335,0.523,8.9,1.9,4.8,1.5,10.6,0.72,0.15,5.4,
Avery Bradley,Bos,SG,25,76,33.4,69.5,19.8,0.092,123,0.78,612,0.505,406,0.362,0.539,15.2,2.9,4.6,2.1,9.8,1.54,0.25,5.4,
Axel Toupane,Den,SF,23,21,14.5,30.3,11.9,0.072,17,0.765,30,0.4,40,0.325,0.49,3.6,1.5,5.6,0.7,7,0.33,0.29,4.3,
Ben McLemore,Sac,SG,22,68,21.2,44.2,17.6,0.165,103,0.718,270,0.474,185,0.362,0.531,7.8,2.2,5.6,1.2,7.9,0.76,0.15,5.2,
Beno Udrih,Mem,PG,33,8,15.1,31.4,21.7,0.189,3,1,35,0.457,11,0.364,0.497,5.9,1.1,4.3,3.3,36.3,0.38,0.13,7.4,
Beno Udrih,Mia,PG,33,36,16.3,34,15.7,0.208,17,0.882,119,0.462,33,0.333,0.495,4.4,1.8,6.1,2.5,22.5,0.31,0,6.6,
Bismack Biyombo,Tor,C,23,82,22,45.9,11.5,0.155,226,0.628,287,0.544,1,0,0.586,5.5,8,20.8,0.4,2.4,0.23,1.62,4.7,
Blake Griffin,Lac,PF,26,35,33.4,69.7,29.8,0.108,194,0.727,585,0.504,18,0.333,0.544,21.4,8.4,13.7,4.9,27.2,0.8,0.49,11.5,
Boban Marjanovic,San,C,27,54,9.4,19.6,22.8,0.115,114,0.763,174,0.603,0,0,0.662,5.5,3.6,21.7,0.4,6.6,0.22,0.43,8.5,
Bobby Portis,Chi,PF,20,62,17.8,37,20.7,0.106,66,0.727,383,0.444,52,0.308,0.47,7,5.4,16.1,0.8,7.5,0.4,0.35,7,
Bojan Bogdanovic,Bro,SF,26,79,26.8,55.8,19.4,0.125,132,0.833,412,0.473,337,0.383,0.55,11.2,3.2,6.8,1.3,7.3,0.37,0.06,5.4,
Boris Diaw,San,PF,33,76,18.2,38,17,0.189,76,0.737,314,0.564,69,0.362,0.582,6.4,3.1,9.6,2.3,18.4,0.34,0.28,7.9,
Bradley Beal,Was,SG,22,55,31.1,64.7,25.3,0.113,176,0.767,528,0.481,271,0.387,0.547,17.4,3.4,6.2,2.9,15.6,0.98,0.2,7.1,
Brandan Wright,Mem,PF,28,12,17.7,36.8,15.3,0.138,24,0.542,52,0.673,0,0,0.663,6.9,3.6,11.6,0.5,4.7,0.42,1.25,5.2,
Brandon Bass,Lal,PF,30,66,20.3,42.4,13.9,0.099,148,0.845,315,0.552,2,0,0.619,7.2,4.3,11.4,1.1,9.2,0.5,0.83,6.4,
Brandon Jennings,Det,PG,26,23,18.1,37.7,19,0.122,38,0.711,65,0.446,77,0.312,0.495,6.8,2,6,3,25.7,0.48,0.09,7.6,
Brandon Jennings,Orl,PG,26,25,18.1,37.7,20.9,0.164,40,0.75,83,0.386,78,0.346,0.49,7,2,6.1,4,32.4,0.72,0.2,8.5,
Brandon Knight,Pho,SG,24,52,36,74.9,26.2,0.154,183,0.852,545,0.461,350,0.343,0.522,19.6,3.9,5.9,5.1,24.4,1.17,0.38,8.1,
Brandon Rush,Gol,SG,30,72,14.7,30.5,12.5,0.108,28,0.643,103,0.447,157,0.414,0.56,4.2,2.5,9.2,0.8,7,0.28,0.32,5.5,
Brian Roberts,Cha,PG,30,30,11.1,23.2,19.9,0.109,37,0.919,88,0.477,27,0.333,0.552,4.8,1,4.8,1.3,18.6,0.23,0.03,6.6,
Brian Roberts,Por,PG,30,21,6.5,13.6,19.6,0.114,10,0.8,35,0.486,15,0.4,0.551,2.9,0.6,4.8,0.8,18.5,0.14,0.05,6.9,
Briante Weber,Mem,PG,23,6,27.7,57.6,13.2,0.185,4,0.75,33,0.394,5,0,0.365,4.8,4,8.3,3.3,17.7,1.5,0.5,5.8,
Brook Lopez,Bro,C,27,73,33.7,70.1,27.3,0.116,403,0.787,1143,0.515,14,0.143,0.562,20.6,7.8,13.1,2,10.7,0.79,1.7,8.1,
Bruno Caboclo,Tor,SF,20,6,7.1,14.8,17,0.25,0,0,5,0,7,0.143,0.125,0.5,0.3,2.7,0.2,3.2,0.33,0.17,1.8,
Bryce Cotton,Pho,PG,23,3,10.9,22.7,16.9,0.385,0,0,5,0.4,3,0,0.25,1.3,0,0,1,12.9,1,0,0,
Bryce Dejean-Jones,Nor,SG,23,14,19.9,41.5,14.2,0.123,21,0.524,37,0.432,32,0.375,0.505,5.6,3.4,9.6,1.1,7.7,0.71,0.14,5.5,
Cameron Bairstow,Chi,C,25,18,5.7,11.9,20.3,0.084,8,0.875,35,0.343,5,0.2,0.391,1.9,1.6,14.4,0.3,8.8,0.11,0.17,6.8,
Cameron Payne,Okc,PG,21,57,12.2,25.5,20.3,0.132,24,0.792,167,0.467,111,0.324,0.49,5,1.5,6.6,1.9,22.5,0.63,0.11,7.9,
Carl Landry,Phi,PF,32,36,15.8,33,24,0.071,91,0.736,237,0.561,13,0.462,0.605,9.8,4.1,13.9,0.9,11.1,0.33,0.25,8.4,
Carmelo Anthony,Nyk,SF,31,72,35.1,73.2,29.7,0.106,403,0.829,997,0.463,310,0.339,0.53,21.8,7.7,12,4.2,22,0.86,0.53,10.1,
Caron Butler,Sac,SF,35,17,10.3,21.5,16.3,0.045,12,0.833,41,0.537,18,0.167,0.49,3.7,1.3,6.8,0.6,8.3,0.53,0.06,5.5,
Chandler Parsons,Dal,SF,27,61,29.5,61.4,20.5,0.118,136,0.684,400,0.54,251,0.414,0.589,13.7,4.7,8.7,2.8,16,0.75,0.34,7.7,
Channing Frye,Orl,C,32,44,17.1,35.7,13.2,0.133,21,0.905,65,0.508,121,0.397,0.586,5.2,3.2,10.4,1,8.4,0.48,0.45,6,
