FULL NAME,TEAM,POS,AGE,GP,MPG,ORTG,DRTG,USG%,TO%,3PA,3P%,FTA,FT%,eFG%,TS%,MPG,PPG,RPG,APG,VI,,
Carmelo Anthony,Den,SF,25,69,13,110,108.4,33.6,0.105,187,0.316,612,0.83,0.478,0.549,37.6,28.2,6.6,3.2,9.3,,
Carlos Arroyo,Mia,PG,30,72,10,114.9,109.2,14,0.115,25,0.28,90,0.844,0.484,0.529,21.8,6.1,1.8,3.1,5,,
Chucky Atkins,Det,PG,35,40,42,102.2,116.1,15.1,0.159,73,0.301,27,0.926,0.433,0.477,15.9,4,0.7,2.3,2.9,,
Charlie Bell,Mil,SG,30,71,11,100.4,108.3,15.4,0.103,200,0.365,67,0.716,0.464,0.486,22.5,6.5,1.9,1.5,4,,
Chauncey Billups,Den,PG,33,73,9,119.9,110,24.5,0.13,407,0.383,510,0.912,0.499,0.601,33.6,19.5,3.1,5.5,8.3,,
Carlos Boozer,Uta,PF,28,78,4,112.5,102.4,25.3,0.143,0,0,384,0.742,0.562,0.599,34.1,19.5,11.2,3.2,10.7,,
Chris Bosh,Tor,PF,25,70,12,117.6,111.1,28.5,0.106,22,0.364,590,0.797,0.521,0.591,35.9,24,10.8,2.4,9.8,,
Corey Brewer,Min,SF,23,82,0,97.8,112,21.9,0.135,237,0.346,256,0.648,0.475,0.503,30.1,13,3.4,2.3,6.2,,
Chase Budinger,Hou,SF,21,74,8,110.9,109.7,19.9,0.074,249,0.369,87,0.77,0.522,0.545,19.9,8.9,3,1.2,4.2,,
Caron Butler,Dal,SF,29,27,55,101,105.5,22.1,0.105,50,0.34,104,0.76,0.464,0.509,34.2,15.2,5.4,1.8,6.9,,
Caron Butler,Was,SF,29,47,35,100.7,109.6,22.3,0.127,95,0.263,211,0.877,0.44,0.506,39.2,16.9,6.7,2.3,8.5,,
Carlos Delfino,Mil,SF,27,75,7,103.5,104.1,18.7,0.133,365,0.367,119,0.782,0.5,0.526,30.2,11,5.3,2.7,7.6,,
Chris Douglas-Roberts,Njn,SG,22,67,15,98.5,112.5,19.8,0.131,54,0.259,157,0.847,0.457,0.512,25.6,9.8,3,1.4,4.8,,
Chris Duhon,Nyk,PG,27,67,15,107.2,114.9,13.1,0.182,258,0.349,95,0.716,0.472,0.501,30.7,7.4,2.7,5.6,7.7,,
Channing Frye,Pho,C,26,81,1,119.5,108.2,16.5,0.088,392,0.439,121,0.81,0.573,0.598,26.8,11.2,5.3,1.4,5.8,,
Chuck Hayes,Hou,PF,26,82,0,107.7,104.9,11.1,0.171,0,0,66,0.545,0.489,0.5,21.4,4.4,5.7,1.7,5.9,,
Chris Hunter,Gol,PF,25,60,22,112.1,112.9,15,0.109,3,0,69,0.754,0.505,0.548,12.7,4.5,2.8,0.6,2.8,,
Chris Kaman,Lac,C,27,76,6,99.2,109.1,27.4,0.143,6,0,307,0.749,0.49,0.527,34.1,18.5,9.3,1.6,8,,
Carl Landry,Sac,PF,26,28,54,111.9,112,21.1,0.101,3,0.333,147,0.741,0.521,0.568,37.4,18,6.5,0.9,6,,
Carl Landry,Hou,PF,26,52,30,119.9,108.7,24.4,0.113,0,0,280,0.839,0.547,0.621,27,16.1,5.5,0.8,4.9,,
Courtney Lee,Njn,SF,24,71,11,106.7,112,17.9,0.083,225,0.338,153,0.869,0.485,0.525,33.3,12.5,3.6,1.7,5.9,,
