FULL NAME,TEAM,POS,AGE,GP,MPG,ORTG,DRTG,USG%,TO%,3PA,3P%,FTA,FT%,eFG%,TS%,MPG,PPG,RPG,APG,VI,,
Stephen Curry,Gol,PG,21,80,2,106.6,112.6,21.3,0.166,378,0.437,200,0.885,0.534,0.568,35.7,17.4,4.4,5.9,9.7,,
Samuel Dalembert,Phi,C,28,82,0,109.6,104.8,15.3,0.175,0,0,133,0.729,0.545,0.573,25.7,8.1,9.5,0.8,5.8,,
Stephen Graham,Cha,SF,27,69,13,103.5,102.6,18,0.121,50,0.32,65,0.646,0.529,0.551,11.5,4.3,2,0.3,1.9,,
Spencer Hawes,Sac,PF,21,72,10,101,109.8,20,0.155,87,0.299,106,0.689,0.488,0.507,26.2,10,6.1,2.2,7.1,,
Serge Ibaka,Okc,PF,20,73,9,108.6,101,16.4,0.142,2,0.5,92,0.63,0.545,0.562,18,6.3,5.4,0.1,2.1,,
Stephen Jackson,Gol,SF,31,9,73,96.6,112.9,24.3,0.148,40,0.275,37,0.703,0.462,0.499,33,16.6,3.9,4.7,8.5,,
Stephen Jackson,Cha,SF,31,72,10,100.5,102.2,28,0.138,353,0.334,397,0.786,0.469,0.52,39.1,21.1,5.1,3.6,9,,
Solomon Jones,Ind,C,25,52,30,98.9,106.7,16.1,0.162,3,0,71,0.718,0.443,0.499,12.8,4,2.8,0.6,2.8,,
Shaun Livingston,Was,PG,24,26,56,111,113.7,17.7,0.195,4,0,48,0.875,0.535,0.582,25.4,9.2,2.2,4.4,6.3,,
Shaun Livingston,Okc,PG,24,10,72,72.7,104.6,8.4,0.333,2,0,0,0,0.313,0.313,12.8,1,2,1.3,3.2,,
Shawn Marion,Dal,SF,31,75,7,107.6,106.7,17.9,0.106,19,0.158,139,0.755,0.51,0.535,31.6,12,6.4,1.4,6.6,,
Sean May,Sac,PF,25,37,45,98.4,108.7,19.9,0.132,4,0,32,0.656,0.459,0.492,8.8,3.3,1.9,0.5,2,,
Steve Nash,Pho,PG,35,81,1,120.7,114.2,22.5,0.214,291,0.426,225,0.938,0.57,0.615,32.6,16.5,3.3,11,10.6,,
Shaquille OÕNeal,Cle,C,37,53,29,104.2,101.7,25.3,0.157,1,0,226,0.496,0.566,0.565,23.2,12,6.7,1.5,6.2,,
Sasha Pavlovic,Min,SG,26,71,11,82.8,113.3,18.6,0.145,118,0.297,26,0.385,0.422,0.422,12.2,3.7,1.6,0.8,2.5,,
Sergio Rodriguez,Nyk,PG,23,27,55,102,113.9,19.5,0.24,49,0.347,31,0.806,0.543,0.573,19.5,7.4,1.4,3.4,4.5,,
Sergio Rodriguez,Sac,PG,23,39,43,104.4,110.4,24.2,0.213,43,0.372,62,0.694,0.508,0.543,13.2,6.1,1.3,3.1,3.8,,
Sebastian Telfair,Lac,PG,24,39,43,97.3,112.3,17.7,0.197,47,0.234,31,0.774,0.437,0.47,14.7,4.3,1.1,2.9,3.6,,
Sasha Vujacic,Lal,SG,25,67,15,112,105.3,15.8,0.087,81,0.309,33,0.848,0.479,0.518,8.4,2.8,1.2,0.6,1.8,,
Sonny Weems,Tor,SF,23,69,13,104.5,113.8,18.4,0.118,15,0.133,64,0.688,0.517,0.533,19.6,7.5,2.8,1.5,4.4,,
Sean Williams,Njn,PF,23,20,62,79.6,106.8,15.9,0.259,1,0,19,0.526,0.429,0.453,11.2,2.6,2.3,0.1,1.4,,
Shelden Williams,Bos,C,26,54,28,118.4,103.4,15.2,0.155,1,0,98,0.765,0.521,0.612,10.9,3.7,2.7,0.4,2.3,,
Sam Young,Mem,SG,24,80,2,101.8,111.6,23.1,0.141,56,0.196,175,0.777,0.462,0.518,16.3,7.4,2.5,0.7,3.1,,
Tony Allen,Bos,SG,27,54,28,101.5,101.3,19.5,0.178,5,0,119,0.605,0.51,0.54,16.3,6.1,2.7,1.3,3.9,,
Trevor Ariza,Hou,SF,24,72,10,99.3,106.5,21.7,0.128,407,0.334,228,0.649,0.462,0.488,36.3,14.9,5.6,3.8,9.2,,
Tony Battie,Njn,C,33,15,67,89.4,110.3,16.3,0.065,4,0.25,10,0.7,0.372,0.415,8.7,2.4,1.5,0.2,1.4,,
Tyson Chandler,Cha,C,27,51,31,107.1,100.5,14.1,0.26,0,0,157,0.732,0.574,0.643,22.6,6.5,6.3,0.3,3.5,,
Toney Douglas,Nyk,SG,23,56,26,113.2,113.9,19.7,0.116,173,0.387,68,0.809,0.544,0.571,19.2,8.5,1.9,2,4.2,,
Tim Duncan,San,PF,33,78,4,115.8,101,26.5,0.101,11,0.182,374,0.725,0.519,0.56,31.1,17.9,10.1,3.2,10,,
Tyreke Evans,Sac,SG,20,72,10,106.6,110.3,26.7,0.136,142,0.254,465,0.748,0.473,0.529,37,20.1,5.3,5.7,10.4,,
T.J. Ford,Ind,PG,26,47,35,101.3,109.5,20.8,0.159,50,0.16,135,0.77,0.455,0.507,25.1,10.3,3.2,3.8,6.7,,
Taj Gibson,Chi,PF,24,82,0,104.6,103.6,16.9,0.138,0,0,175,0.646,0.495,0.521,26.7,9,7.5,0.9,5.6,,
Tyler Hansbrough,Ind,PF,24,29,53,101,107.2,25.3,0.071,4,0,113,0.743,0.36,0.448,17.4,8.5,4.8,1,4.4,,
Trenton Hassell,Njn,SF,30,52,30,94.8,114.4,12.4,0.159,5,0,69,0.754,0.413,0.467,21,4.5,2.9,1,3.9,,
Ty Lawson,Den,PG,22,65,17,118.1,110.4,18.1,0.154,83,0.41,140,0.757,0.559,0.6,20,8.3,1.9,3.1,4.9,,
Tracy McGrady,Nyk,SG,30,24,58,98.5,113.2,20.4,0.151,62,0.242,57,0.754,0.424,0.469,25.9,9.4,3.7,3.9,7.2,,
Troy Murphy,Ind,PF,29,72,10,115.1,104.2,18.6,0.1,333,0.384,193,0.798,0.551,0.585,32.4,14.6,10.2,2.1,8.9,,
Travis Outlaw,Lac,SF,25,23,59,104.5,111.7,19.8,0.093,74,0.378,35,0.8,0.478,0.512,21.5,8.7,3.6,1.1,4.4,,
Travis Outlaw,Por,SF,25,11,71,101,106.2,26,0.097,31,0.387,24,0.875,0.436,0.489,20.8,9.9,3.5,0.7,3.7,,
Tony Parker,San,PG,27,56,26,106.5,108.6,26.3,0.153,34,0.294,246,0.756,0.494,0.542,30.7,16,2.4,5.7,7.5,,
Tayshaun Prince,Det,SF,29,49,33,112.7,114,19.8,0.088,73,0.37,98,0.714,0.509,0.53,33.8,13.5,5.1,3.3,8.3,,
Theo Ratliff,Cha,C,36,28,54,105.9,101.5,12.1,0.155,0,0,46,0.783,0.466,0.528,22.1,5.1,4.2,0.6,3.8,,
Theo Ratliff,San,C,36,21,61,82.4,100.5,14.1,0.298,0,0,4,0.5,0.444,0.45,8.4,1.6,1.9,0.4,1.9,,
Thabo Sefolosha,Okc,SG,25,82,0,102.4,103.9,11,0.158,131,0.313,89,0.674,0.485,0.508,28.5,6,4.7,1.8,6.2,,
Tim Thomas,Dal,SF,32,18,64,111.5,108,20.9,0.107,43,0.372,24,0.875,0.538,0.579,15.7,7.5,2.3,0.8,3.1,,
Tyrus Thomas,Cha,PF,23,25,57,97.7,95.3,25.3,0.137,2,0,85,0.729,0.442,0.499,21.5,10.1,6.1,0.9,4.9,,
Tyrus Thomas,Chi,PF,23,29,53,96.7,97,20,0.178,1,0,90,0.644,0.483,0.523,23.2,8.8,6.3,1.1,5.4,,
Terrence Williams,Njn,SG,22,78,4,92.7,110.8,22.1,0.148,100,0.31,144,0.715,0.424,0.459,22.4,8.4,4.5,2.9,6.6,,
Thaddeus Young,Phi,PF,21,67,15,102.3,111.9,21.8,0.125,138,0.348,165,0.691,0.499,0.523,31.8,13.8,5.2,1.4,6.1,,
Udonis Haslem,Mia,PF,29,78,4,111.5,104.6,17.2,0.095,0,0,193,0.762,0.494,0.538,27.7,9.9,8.1,0.7,5.4,,
Vince Carter,Orl,SG,33,75,7,112.4,105,25.2,0.084,324,0.367,306,0.84,0.486,0.541,30.6,16.6,3.9,3.1,7.2,,
Vladimir Radmanovic,Gol,SF,28,33,49,91.5,113.2,15.3,0.14,86,0.267,21,0.762,0.435,0.452,22.8,6.6,4.5,1.2,5,,
Will Bynum,Det,PG,27,63,19,105.5,114.2,21.1,0.158,55,0.218,178,0.798,0.455,0.513,26.3,10,2.3,4.5,6.5,,
Wilson Chandler,Nyk,SF,22,65,17,105.8,113.4,20.1,0.104,150,0.267,160,0.806,0.502,0.534,35.5,15.3,5.4,2.1,7.4,,
Wayne Ellington,Min,SG,22,76,6,101.2,115.9,17.8,0.132,162,0.395,70,0.871,0.496,0.527,18,6.6,2.1,1,3.4,,
Willie Green,Phi,SG,28,73,9,109.7,114.9,19.7,0.101,136,0.346,114,0.833,0.5,0.538,21.1,8.7,1.8,2.1,4.3,,
Wesley Matthews,Uta,SG,23,82,0,112.7,108.9,16.8,0.125,165,0.382,193,0.829,0.539,0.592,24.5,9.4,2.3,1.5,4.4,,
Yi Jianlian,Njn,PF,22,52,30,99,110,20.3,0.106,41,0.366,193,0.798,0.417,0.481,31.6,12,7.1,0.9,5.9,,
Zydrunas Ilgauskas,Cle,C,34,64,18,102.4,103.9,19.2,0.117,23,0.478,101,0.743,0.455,0.491,20.7,7.4,5.4,0.8,4.5,,
Zaza Pachulia,Atl,C,25,78,4,109.6,104.6,15.9,0.158,4,0,143,0.65,0.488,0.539,13.7,4.3,3.8,0.5,3,,
Zach Randolph,Mem,PF,28,81,1,113.8,108.5,25.5,0.101,52,0.288,465,0.778,0.494,0.546,37.5,20.8,11.7,1.8,9.2,,
