FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Gustavo Ayon,Orl,C,27,43,13.1,27.1,14.5,0.211,38,0.5,125,0.536,0,0,0.54,3.6,3.3,14,1.4,15.8,0.3,0.3,7.8
Gustavo Ayon,Mil,C,27,12,13.3,26.4,15.3,0.16,12,0.083,42,0.595,0,0,0.539,4.3,4.9,19.8,1,11.9,0.75,0.33,8.3
Hakim Warrick,Cha,PF,30,27,17.7,36.1,21.8,0.122,86,0.674,160,0.413,3,0,0.473,7,3.3,10.7,0.9,9.1,0.44,0.22,6.2
Hamed Haddadi,Pho,C,27,17,13.6,27.5,19,0.273,25,0.52,61,0.459,0,0,0.479,4.1,5.1,21.4,0.5,5.3,0.29,1.24,6.4
Harrison Barnes,Gol,SF,20,81,25,51.7,18,0.124,190,0.758,483,0.464,145,0.359,0.526,9.2,4.1,9.1,1.2,7.3,0.64,0.17,5.7
Hasheem Thabeet,Okc,C,25,66,11.5,23.6,10.2,0.236,53,0.604,106,0.604,0,0,0.619,2.4,2.9,14.7,0.2,2.1,0.45,0.91,3.9
Hedo Turkoglu,Orl,SF,33,11,17,34,16.5,0.177,6,0.5,29,0.448,24,0.042,0.288,2.9,2.4,7.9,2.1,17.4,0.64,0.09,5.8
Ian Mahinmi,Ind,C,26,80,16.3,33.8,17.3,0.186,171,0.608,326,0.454,2,0,0.496,5,3.9,13.3,0.3,3.4,0.49,0.83,4.4
Iman Shumpert,Nyk,PG,22,45,22,45.5,15.8,0.111,47,0.766,148,0.392,127,0.402,0.516,6.8,3,8.1,1.7,11.7,0.96,0.16,5.9
Isaiah Thomas,Sac,PG,23,79,26.6,55.1,23.2,0.127,287,0.882,511,0.491,321,0.358,0.574,13.9,2,4.3,4,24.8,0.85,0.04,7.2
Ishmael Smith,Orl,PG,24,36,10.3,21.2,17.8,0.186,7,0.429,99,0.354,16,0.25,0.36,2.4,1.3,7,1.6,23.1,0.36,0.17,6.6
Ivan Johnson,Atl,C,28,69,14.8,30.5,22,0.147,131,0.618,343,0.536,13,0.077,0.546,6.6,3.9,14.9,0.7,7.6,0.81,0.2,7.1
J.J. Hickson,Por,C,24,80,28.9,59.6,20,0.144,268,0.679,742,0.563,2,0,0.591,12.7,10.4,20.9,1.1,6.6,0.6,0.64,7.3
J.J. Redick,Orl,SG,28,50,31.3,64.7,21.6,0.141,129,0.891,282,0.514,300,0.39,0.592,15.1,2.4,4.3,4.4,22.9,0.58,0.1,6.9
J.J. Redick,Mil,SG,28,28,28.5,58.1,19.5,0.092,61,0.918,147,0.49,151,0.318,0.529,12.3,1.9,3.5,2.7,14.9,0.32,0.14,5.6
J.R. Smith,Nyk,SG,27,80,33.3,69.2,26.7,0.088,311,0.762,813,0.458,436,0.356,0.522,18.1,5.3,9.3,2.7,14.6,1.25,0.3,7.7
Jae Crowder,Dal,SF,22,78,17.2,35.2,15.2,0.109,73,0.644,175,0.446,192,0.328,0.491,5,2.4,7.7,1.2,10,0.81,0.22,5.7
Jamaal Tinsley,Uta,PG,34,66,18.1,37.2,13.4,0.301,26,0.692,108,0.444,127,0.307,0.465,3.5,1.7,5.6,4.4,35.1,0.97,0.2,6.6
Jamal Crawford,Lac,SG,32,76,29.1,60.6,26.2,0.115,248,0.871,620,0.477,396,0.376,0.558,16.5,1.7,3.4,2.5,14.5,1.04,0.17,5.7
Jameer Nelson,Orl,PG,30,56,35.1,72.6,22.7,0.157,102,0.873,425,0.435,355,0.341,0.498,14.7,3.7,6,7.4,33.5,1.27,0.11,8.4
James Anderson,Hou,SG,23,29,10.4,21.3,18.5,0.141,19,0.895,52,0.481,49,0.327,0.526,4,2,10.9,1.1,16.8,0.41,0.1,7.9
James Harden,Hou,SG,23,78,38.1,78.9,29.2,0.149,792,0.851,851,0.477,486,0.368,0.6,25.9,4.9,7.3,5.8,25.8,1.82,0.49,9.5
James Johnson,Sac,SF,25,54,16.1,33.1,19.5,0.179,67,0.597,262,0.439,21,0.095,0.442,5.1,2.7,9.5,1.1,10.4,0.76,0.93,6.1
Jan Vesely,Was,PF,22,51,11.6,23.8,12.2,0.171,39,0.308,113,0.504,1,0,0.48,2.5,2.4,11.5,0.5,7.4,0.29,0.31,5
Jannero Pargo,Was,PG,33,7,14.3,27.1,18.6,0.196,2,1,12,0.417,20,0.15,0.319,3,0.9,3.3,2,21.4,0,0.14,4.9
Jannero Pargo,Atl,PG,33,7,16,30.1,18.2,0.114,2,1,18,0.333,20,0.35,0.45,5,1,3.6,2.7,25.7,0.43,0,6
Jannero Pargo,Cha,PG,33,18,16.1,32.6,27.3,0.161,9,0.889,66,0.424,76,0.382,0.517,8.4,1.2,4.3,1.9,22.7,0.83,0.11,6.6
Jared Dudley,Pho,SG,27,79,27.3,56.5,17.4,0.12,162,0.796,398,0.52,271,0.391,0.582,10.9,3.1,6.5,2.6,15,0.95,0.1,6.5
Jared Sullinger,Bos,PF,20,45,19.6,39.5,15.1,0.103,63,0.746,220,0.5,5,0.2,0.534,6,5.9,17.7,0.8,6.3,0.49,0.49,6.2
Jarrett Jack,Gol,PG,29,79,29.2,60.5,21.4,0.142,198,0.843,654,0.466,204,0.402,0.541,12.9,3.1,5.8,5.5,30.3,0.76,0.13,8.3
Jason Collins,Bos,C,34,32,10.2,20.1,7.6,0.307,30,0.7,23,0.348,0,0,0.511,1.2,1.6,9.5,0.2,2.5,0.31,0.19,2.9
Jason Kidd,Nyk,PG,39,76,26.7,55.4,11.7,0.15,48,0.833,84,0.452,324,0.352,0.534,6,4.3,9.3,3.3,17.9,1.64,0.32,6.6
Jason Maxiell,Det,PF,29,72,24.7,51,15.4,0.135,145,0.621,457,0.446,0,0,0.478,6.9,5.7,13.3,0.8,4.8,0.44,1.32,5.1
Jason Richardson,Phi,SG,32,33,28.2,58.1,18.7,0.069,33,0.606,169,0.462,167,0.341,0.495,10.5,3.8,7.7,1.5,8.7,1.21,0.45,5.5
Jason Smith,Nor,C,26,51,17,35.1,23.7,0.125,102,0.843,337,0.496,4,0,0.544,8.2,3.6,12.8,0.7,7.1,0.29,0.88,6.5
Jason Terry,Bos,SG,35,79,26.7,54.4,18.1,0.126,131,0.87,317,0.498,331,0.372,0.566,10.1,2,4.5,2.5,15.2,0.84,0.14,5.5
Jason Thompson,Sac,PF,26,82,27.7,57.2,18.3,0.108,206,0.694,742,0.504,3,0,0.533,10.9,6.7,13.7,1,6,0.59,0.74,6
JaVale McGee,Den,C,25,79,18,37.1,21.3,0.129,186,0.591,525,0.573,1,1,0.588,9.1,4.8,15,0.3,2.8,0.38,1.97,5.2
Jeff Adrien,Cha,SF,26,52,13.5,27.9,15.8,0.131,100,0.65,166,0.434,2,0,0.493,4,3.8,16,0.7,8.4,0.35,0.52,6.5
Jeff Green,Bos,SF,26,81,27.6,56.4,22.3,0.125,265,0.808,624,0.49,182,0.385,0.561,12.8,3.9,8.4,1.6,9.7,0.69,0.84,6.2
Jeff Taylor,Cha,SF,23,77,19.4,40.1,15,0.097,103,0.728,245,0.486,154,0.344,0.531,6.1,1.9,5.8,0.8,7.1,0.61,0.19,4.3
Jeff Teague,Atl,PG,24,80,32.7,67.4,23.1,0.176,226,0.881,726,0.482,248,0.359,0.543,14.6,2.3,3.9,7.2,36.4,1.46,0.35,7.6
Jeremy Lin,Hou,PG,24,82,32,66.3,20.9,0.188,275,0.785,640,0.483,257,0.339,0.538,13.4,3,5.3,6.1,29.6,1.61,0.35,7.8
Jeremy Pargo,Cle,PG,26,25,17.7,36.5,24.4,0.153,41,0.683,130,0.438,57,0.316,0.478,7.8,1.3,4.2,2.6,24.6,0.48,0.08,6.7
Jeremy Pargo,Phi,PG,26,14,14.6,29.8,19.2,0.153,21,0.667,46,0.37,17,0.412,0.478,4.9,1.2,4.7,2,20.8,0.07,0,6.2
Jermaine O’Neal,Pho,C,34,55,18.5,38.2,21.6,0.148,115,0.835,371,0.482,0,0,0.538,8.3,5.3,16.4,0.8,6.9,0.35,1.42,7.1
Jerry Stackhouse,Bro,SF,38,37,14.5,29.6,17.7,0.116,23,0.87,83,0.434,89,0.337,0.5,4.9,0.9,3.6,0.9,10.6,0.19,0.11,4.4
Jerryd Bayless,Mem,PG,24,80,21.9,45.3,20.9,0.151,122,0.836,419,0.451,201,0.353,0.514,8.7,2.2,5.9,3.3,25.1,0.74,0.23,7.3
Jimmer Fredette,Sac,PG,23,69,13.8,28.5,24.4,0.13,99,0.859,255,0.42,156,0.417,0.543,7.2,1,4.2,1.3,16.3,0.45,0.04,6.1
Jimmy Butler,Chi,SF,23,82,25.8,53.3,14.7,0.092,233,0.803,407,0.489,105,0.381,0.574,8.6,4,8.9,1.4,8.8,0.95,0.38,5.6
Joakim Noah,Chi,C,27,66,36.3,74.9,17.4,0.193,237,0.751,625,0.485,5,0,0.534,11.9,11.1,17.6,4,17.9,1.18,2.14,8.9
Jodie Meeks,Lal,SG,25,78,21.1,43.8,16.9,0.083,96,0.896,188,0.441,342,0.357,0.54,7.9,2.2,5.7,0.9,6.5,0.74,0.06,4.7
Joe Johnson,Bro,SG,31,72,36.5,75.2,21.9,0.099,161,0.82,658,0.451,395,0.375,0.521,16.3,3,4.9,3.5,16.9,0.68,0.19,6.1
Johan Petro,Atl,C,27,31,11.1,22.7,18.7,0.172,12,0.917,106,0.443,4,0.25,0.468,3.5,3.6,18.6,0.5,7.3,0.32,0.29,6.7
John Henson,Mil,PF,22,63,13,26.7,22.9,0.11,105,0.533,333,0.486,3,0,0.497,6,4.7,19.6,0.5,6.4,0.3,0.67,7.4
John Jenkins,Atl,SG,21,61,14.6,30,19,0.11,70,0.843,156,0.5,138,0.384,0.576,6.1,1.5,6.1,0.9,10,0.2,0.16,5.5
John Lucas III,Tor,PG,29,63,12.9,26.4,21.1,0.07,25,0.72,183,0.393,151,0.377,0.483,5.3,1,4.7,1.7,21.9,0.37,0.02,6.5
John Salmons,Sac,SG,33,76,29.8,61.6,14.6,0.114,110,0.773,345,0.42,267,0.371,0.509,8.8,2.7,5.2,3,14.9,0.67,0.33,5.6
John Wall,Was,PG,22,49,32.5,66.7,29.4,0.153,306,0.804,690,0.452,45,0.267,0.521,18.5,4,6.9,7.6,44.1,1.31,0.76,10.2
Jonas Jerebko,Det,PF,25,49,18,37.1,20.5,0.106,88,0.773,233,0.502,83,0.301,0.531,7.7,3.8,12.1,0.9,8.3,0.78,0.16,6.6
Jonas Valanciunas,Tor,C,20,62,23.7,48.4,17.1,0.173,185,0.789,366,0.557,1,0,0.618,8.9,6,15.1,0.7,5.2,0.26,1.26,5.6
Jordan Crawford,Was,SG,24,43,26,53.3,26.6,0.149,106,0.821,337,0.451,171,0.345,0.512,13.2,3.1,6.7,3.6,25.6,0.63,0.12,8.1
Jordan Crawford,Bos,SG,24,27,21.4,41.9,23.3,0.155,53,0.792,142,0.465,75,0.32,0.512,9.1,2.7,7.6,2.5,19.6,0.44,0.07,7.4
Jordan Hill,Lal,C,25,29,15.6,32.2,20.4,0.125,61,0.656,153,0.503,2,0,0.533,6.7,5.7,20.2,0.4,4.8,0.28,0.66,6.4
Jose Barea,Min,PG,28,74,22.9,47.7,25.3,0.151,134,0.784,477,0.459,280,0.346,0.511,11.3,2.8,7,4,30.9,0.43,0.01,8.8
Jose Calderon,Tor,PG,31,45,28.1,57,18.2,0.151,52,0.904,214,0.505,184,0.429,0.594,11.1,2.4,5,7.4,44,0.62,0.13,8.3
Jose Calderon,Det,PG,31,28,31.4,64.3,15.5,0.17,28,0.893,139,0.532,98,0.52,0.654,11.6,2.5,4.6,6.6,34.4,1.07,0.07,7.3
Josh Howard,Min,SF,32,11,18.8,38.3,20,0.108,12,0.583,61,0.426,16,0.313,0.45,6.7,3.3,10,0.4,3.3,0.91,0.27,4.4
Josh McRoberts,Orl,PF,25,41,16.5,34.1,13,0.144,30,0.733,98,0.439,55,0.309,0.478,3.9,3.3,11.4,1.7,14.7,0.24,0.29,6.8
Josh McRoberts,Cha,PF,25,26,30.7,62.6,14.4,0.151,55,0.782,161,0.553,29,0.241,0.565,9.3,7.2,13.5,2.7,15,0.85,0.58,7.4
Josh Smith,Atl,PF,27,76,35.1,72.4,26.9,0.146,321,0.517,981,0.498,201,0.303,0.501,17.5,8.4,13.7,4.2,21.2,1.24,1.79,9.7
Jrue Holiday,Phi,PG,22,81,36.9,76.6,26.5,0.173,250,0.752,1054,0.445,257,0.366,0.495,17.4,4.1,6.3,7.8,36.1,1.56,0.47,8.9
Kawhi Leonard,San,SF,21,58,30.7,63,16.6,0.096,126,0.825,352,0.554,174,0.374,0.592,11.9,6,11.2,1.6,7.8,1.67,0.55,6.3
Keith Bogans,Bro,SG,32,74,18.8,38.9,11.3,0.144,17,0.647,39,0.615,245,0.343,0.533,4.2,1.6,5.1,1,8.2,0.38,0.05,4
Kemba Walker,Cha,PG,22,82,34.7,71.8,25.7,0.125,371,0.798,912,0.459,332,0.322,0.517,17.7,3.5,5.7,5.7,31.3,1.95,0.38,8.1
Kendall Marshall,Pho,PG,21,48,14.4,29.8,13.7,0.266,14,0.571,78,0.423,73,0.315,0.455,3,0.9,3.4,3,29.8,0.46,0.08,5.6
Kendrick Perkins,Okc,C,28,78,24.8,51.3,10.7,0.24,72,0.611,313,0.46,1,0,0.48,4.3,6,13.8,1.4,8,0.55,1.06,5.3
Kenneth Faried,Den,PF,23,80,27.8,57.3,17.9,0.123,266,0.613,689,0.552,0,0,0.573,11.5,9.2,18.5,1,5.2,1.01,1.05,6.8
Kenyon Martin,Nyk,PF,35,18,23.8,49,13.8,0.126,40,0.425,93,0.602,0,0,0.583,7.2,5.2,12.8,0.4,3,0.89,0.94,4.1
Kevin Durant,Okc,SF,24,81,38.3,79.2,29.9,0.137,750,0.905,1099,0.539,334,0.416,0.647,28.1,7.9,11.8,4.6,21.8,1.43,1.3,10.5
Kevin Garnett,Bos,C,36,68,29.5,60.1,24.7,0.105,201,0.786,834,0.504,16,0.125,0.535,14.8,7.8,15.6,2.3,14.5,1.15,0.91,8.7
Kevin Jones,Cle,PF,23,32,10.3,21.2,16.5,0.066,15,0.6,107,0.402,0,0,0.418,3,2.4,13.8,0.3,4.9,0.28,0.16,5
Kevin Love,Min,PF,24,18,34.1,70.2,29.1,0.098,142,0.704,206,0.413,92,0.217,0.458,18.3,14,23.5,2.3,11.9,0.72,0.5,9.8
Kevin Martin,Okc,SG,29,77,27.5,56.9,21.2,0.102,246,0.89,407,0.472,371,0.426,0.608,14,2.3,4.8,1.4,8,0.94,0.1,5.2
Kevin Seraphin,Was,C,23,79,21.6,44.6,23.7,0.147,88,0.693,716,0.461,0,0,0.478,9.1,4.4,11.2,0.7,6.2,0.3,0.75,5.6
Keyon Dooling,Mem,PG,32,7,11.5,22.2,16.7,0.172,7,0.857,9,0.556,12,0.417,0.644,4.4,0.1,0.7,1.1,16,0.14,0,2.7
Khris Middleton,Det,SF,21,27,17.4,35.6,16.1,0.066,32,0.844,96,0.5,45,0.311,0.532,6.1,1.9,6.1,1,9.6,0.56,0.15,5.2
Kirk Hinrich,Chi,PG,32,60,29.2,60.2,14.8,0.175,98,0.714,240,0.367,182,0.39,0.493,7.7,2.6,5.2,5.2,27.6,1.05,0.42,6.4
Klay Thompson,Gol,SG,22,82,35.3,73,22.2,0.11,157,0.841,680,0.437,525,0.402,0.533,16.6,3.7,5.8,2.2,10.3,1.05,0.54,5.8
Kobe Bryant,Lal,SG,34,78,38.4,79.7,32,0.133,626,0.839,1188,0.51,407,0.324,0.57,27.3,5.6,8,6,29.9,1.36,0.32,10.1
Kosta Koufos,Den,C,23,81,22.2,45.7,14.6,0.087,104,0.558,507,0.582,1,0,0.585,8,6.9,17.5,0.4,2.6,0.54,1.27,5.1
Kris Humphries,Bro,PF,27,65,18.1,37.3,16.5,0.135,123,0.789,308,0.451,2,0,0.515,5.8,5.6,18.3,0.5,4.4,0.25,0.51,5.6
Kwame Brown,Phi,C,30,22,12,24.7,9.3,0.15,19,0.368,37,0.459,0,0,0.452,1.9,3.4,15.8,0.4,4.8,0.27,0.45,4.6
Kyle Korver,Atl,SF,31,74,30.3,62.5,14.6,0.099,78,0.859,187,0.471,414,0.457,0.637,10.9,4,7.5,2,10,0.95,0.5,5.9
Kyle Lowry,Tor,PG,26,68,29.5,60.4,20.5,0.177,239,0.795,344,0.433,279,0.362,0.543,11.6,4.7,9.5,6.4,34.9,1.38,0.35,9.5
Kyle O’Quinn,Orl,PF,22,57,11,22.8,18.4,0.146,45,0.667,196,0.515,1,0,0.535,4.1,3.7,18.8,0.9,13.3,0.19,0.46,8.7
Kyle Singler,Det,SF,24,82,27.8,57.5,15.9,0.123,124,0.806,442,0.464,200,0.35,0.517,8.8,4,8.3,1,5.4,0.7,0.45,4.7
Kyrie Irving,Cle,PG,20,59,34.5,71.7,30.4,0.138,290,0.855,791,0.474,279,0.391,0.553,22.5,3.7,6.1,5.9,33,1.51,0.36,9.1
Lamar Odom,Lac,SF,33,82,19.5,40.6,13.4,0.183,42,0.476,276,0.464,90,0.2,0.429,4,5.9,17.9,1.7,12.5,0.84,0.71,7
LaMarcus Aldridge,Por,PF,27,74,37.5,77.5,26.6,0.089,348,0.81,1303,0.487,14,0.143,0.53,21.1,9.1,14,2.6,13.1,0.84,1.23,8.5
Lance Stephenson,Ind,PG,22,78,29,60,15.3,0.144,115,0.652,411,0.518,188,0.33,0.529,8.8,3.9,7.5,2.9,16.3,1.05,0.21,6.4
Lance Thomas,Nor,PF,24,59,10.8,22.3,10.7,0.096,59,0.729,106,0.5,0,0,0.565,2.5,1.9,10.8,0.3,3.8,0.19,0.12,4.2
Landry Fields,Tor,SG,24,51,20.1,40.9,13,0.146,53,0.642,209,0.478,14,0.143,0.487,4.7,4.1,12,1.2,9,0.63,0.16,5.7
Larry Sanders,Mil,PF,24,71,27.1,56,17,0.116,136,0.618,603,0.507,2,0,0.523,9.8,9.5,18.8,1.2,6.9,0.75,2.8,7.1
Lavoy Allen,Phi,PF,23,79,20.9,43.4,14.9,0.103,60,0.717,453,0.455,1,0,0.474,5.8,5,13.5,0.9,6.8,0.3,0.7,5.7
Leandro Barbosa,Bos,PG,30,41,12.3,24.7,21.7,0.091,41,0.756,146,0.445,47,0.383,0.509,5.2,1.1,5.4,1.4,19.4,0.41,0.15,6.5
LeBron James,Mia,SF,28,76,37.6,77.6,30.3,0.124,536,0.752,1100,0.602,254,0.406,0.64,26.8,8,13.2,7.3,36.7,1.7,0.88,12.4
Linas Kleiza,Tor,SF,28,20,18.6,36.5,21.8,0.08,38,0.842,78,0.359,66,0.303,0.46,7.4,2.6,8.3,0.8,7,0.2,0.1,5.3
Louis Amundson,Nor,PF,30,18,11.4,23.2,13,0.14,16,0.5,42,0.429,0,0,0.449,2.4,3.2,16.9,0.4,5.9,0.5,0.33,5.1
Louis Williams,Atl,SG,26,39,28.5,58.3,23.8,0.13,121,0.868,247,0.466,196,0.367,0.555,14.1,2.1,4.1,3.6,20.6,1.13,0.26,6.7
Luc Mbah a Moute,Mil,PF,26,58,22.7,46.8,16.6,0.139,126,0.571,340,0.406,37,0.351,0.447,6.7,4.4,10.4,0.9,6.2,0.72,0.24,5.3
Luis Scola,Pho,PF,32,82,26.5,54.8,23.4,0.111,230,0.787,898,0.478,16,0.188,0.516,12.8,6.6,14.2,2.2,14.6,0.82,0.43,8.6
Luke Babbitt,Por,SF,23,62,11.6,23.9,16.7,0.084,13,0.769,56,0.429,178,0.348,0.509,3.9,2.2,11.1,0.5,6.3,0.23,0.08,5.6
Luke Ridnour,Min,PG,31,82,30,62.3,18.5,0.128,164,0.848,599,0.503,212,0.311,0.532,11.5,2.5,4.8,3.8,21.2,1,0.18,6.4
Luke Walton,Cle,SF,32,50,17,35.2,13.1,0.24,20,0.5,114,0.447,67,0.299,0.453,3.4,2.9,9.9,3.3,29,0.84,0.26,7.5
Luol Deng,Chi,SF,27,75,38.2,79,21.8,0.105,282,0.816,860,0.455,233,0.322,0.508,16.5,6.3,9.5,3,13.5,1.08,0.43,7.1
Malcolm Lee,Min,SG,22,16,17.9,36.8,14.8,0.105,20,0.6,52,0.404,24,0.333,0.46,4.9,2.4,7.8,1.2,10.3,0.75,0.38,5.4
Manu Ginobili,San,SG,35,60,22.8,46.8,25.6,0.172,206,0.796,304,0.48,235,0.353,0.56,11.8,3.4,8.5,4.6,31.3,1.33,0.22,10
Marc Gasol,Mem,C,28,80,34.8,72,19.3,0.135,316,0.848,855,0.501,14,0.071,0.559,14.1,7.8,13.2,4,19.2,1,1.74,8.7
Marcin Gortat,Pho,C,28,61,30.6,63.1,17.3,0.136,138,0.652,563,0.524,3,0,0.543,11.1,8.5,15.7,1.2,6.5,0.66,1.61,6.3
Marco Belinelli,Chi,SG,26,73,25.4,52.4,19,0.107,168,0.839,389,0.416,221,0.357,0.513,9.6,1.9,4.3,2,13.2,0.6,0.08,5.2
Marcus Camby,Nyk,C,38,24,10.2,21.1,14.6,0.196,19,0.421,53,0.321,0,0,0.342,1.8,3.3,19.1,0.6,8.3,0.29,0.58,6
Marcus Morris,Hou,PF,23,54,21.2,43.8,18.6,0.109,75,0.653,206,0.471,194,0.381,0.537,8.6,4.1,10.9,0.9,6.4,0.5,0.3,6
Marcus Morris,Pho,PF,23,23,15.9,32.3,20.5,0.142,42,0.405,87,0.448,39,0.308,0.453,5.7,2.5,9,0.7,6.5,0.78,0.17,5.4
Marcus Thornton,Sac,SG,25,72,23.8,49.2,23.3,0.076,126,0.881,395,0.484,379,0.372,0.552,12.7,2.5,6,1.3,9.1,0.85,0.06,5.8
Mario Chalmers,Mia,PG,26,77,26.7,55,16.2,0.171,112,0.795,228,0.456,301,0.409,0.576,8.6,2.2,5.1,3.5,19.4,1.53,0.16,6.1
Markieff Morris,Pho,PF,23,82,22.2,45.9,19.9,0.128,127,0.732,519,0.426,134,0.336,0.473,8.2,4.8,12.4,1.3,9.5,0.94,0.78,6.7
Marquis Daniels,Mil,SG,32,59,18.2,37.5,17.1,0.107,54,0.741,279,0.401,72,0.278,0.432,5.5,2.5,7.5,1.1,9.1,0.86,0.17,5.4
Marreese Speights,Mem,PF,25,40,14.3,29.4,25.1,0.112,67,0.716,242,0.43,5,0.4,0.474,6.6,4.7,19.5,0.5,5.6,0.25,0.68,7
Marreese Speights,Cle,PF,25,39,18.3,37.9,26.8,0.105,108,0.806,332,0.461,5,0.2,0.515,10.2,5.1,16,0.7,7.5,0.36,0.67,7.2
MarShon Brooks,Bro,SG,24,73,12.3,25.4,22.8,0.155,94,0.734,280,0.5,55,0.273,0.523,5.4,1.4,6.8,1,14.8,0.47,0.22,6.4
Martell Webster,Was,SG,26,76,28.8,59.4,17,0.111,198,0.848,307,0.463,329,0.422,0.601,11.4,3.9,7.5,1.9,10.8,0.66,0.22,6.1
Marvin Williams,Uta,SF,26,74,23.3,48,15.5,0.105,105,0.79,314,0.478,168,0.321,0.516,7.4,3.6,9,1.1,7.3,0.51,0.5,5.3
Matt Barnes,Lac,SF,32,80,25.5,53.1,18.3,0.11,117,0.744,350,0.574,325,0.342,0.566,10.3,4.6,10.7,1.5,9.3,1.03,0.79,6.5
Matt Bonner,San,C,32,68,13.1,27,13,0.063,15,0.733,109,0.541,121,0.438,0.609,4.2,1.9,8.4,0.5,5.9,0.25,0.26,4.8
Maurice Harkless,Orl,SF,19,76,25.8,53.4,16,0.1,128,0.57,447,0.51,117,0.274,0.504,8.2,4.4,9.7,0.7,3.9,1.16,0.82,4.5
Metta World Peace,Lal,SF,33,75,33.5,69.6,17.6,0.098,169,0.734,412,0.464,412,0.342,0.517,12.4,5,8.1,1.5,7,1.63,0.56,5.4
Meyers Leonard,Por,C,20,69,17.3,35.7,14,0.134,89,0.809,270,0.548,7,0.429,0.596,5.5,3.7,12.4,0.5,4.4,0.16,0.55,5
Michael Beasley,Pho,SF,24,75,20.5,42.5,27.9,0.149,126,0.746,622,0.426,144,0.313,0.462,10.1,3.8,10.4,1.5,12.6,0.41,0.45,7.5
Michael Kidd-Gilchrist,Cha,SF,19,78,25.7,53.3,18,0.127,187,0.749,604,0.462,9,0.222,0.506,9,5.8,13,1.5,10.2,0.69,0.9,6.7
Mickael Gelabale,Min,SF,29,36,17.7,36.6,11.7,0.097,24,0.875,87,0.644,52,0.308,0.605,5,2.8,8.9,0.7,6.5,0.44,0.11,4.8
Mickael Pietrus,Tor,SG,30,19,20.1,39.4,14.8,0.131,18,0.667,34,0.412,64,0.313,0.472,5.3,1.9,5.6,0.5,3.6,0.63,0.32,3.4
Mike Conley,Mem,PG,25,80,34.2,70.9,21.1,0.152,282,0.83,646,0.477,294,0.361,0.549,14.6,2.8,4.9,6.1,29.7,2.15,0.3,7.4
Mike Dunleavy,Mil,SF,32,75,25.7,53.1,17.4,0.117,128,0.82,325,0.455,299,0.428,0.577,10.5,3.9,8.1,1.9,11.7,0.52,0.47,6.6
Mike James,Dal,PG,37,45,18.9,38.4,18.1,0.16,29,0.793,146,0.363,125,0.384,0.481,6.1,1.6,4.6,3.1,24.1,0.56,0.07,6.6
Mike Miller,Mia,SG,32,59,15.1,31,14.6,0.129,11,0.727,56,0.482,175,0.417,0.596,4.8,2.7,10.9,1.7,16.4,0.36,0.07,7.4
Mo Williams,Uta,PG,29,45,30.6,62.7,22.4,0.181,79,0.873,369,0.447,152,0.388,0.518,12.8,2.4,4.6,6.2,33.6,1,0.2,7.5
Monta Ellis,Mil,SG,27,82,37.3,77.2,26.4,0.137,374,0.773,1108,0.454,328,0.287,0.493,19.2,3.9,5.5,6,27.3,2.06,0.44,8.2
Nando De Colo,San,PG,25,72,12.6,25.9,17.3,0.237,44,0.795,159,0.465,82,0.378,0.53,3.8,1.9,8.8,1.9,22,0.57,0.08,7.6
Nate Robinson,Chi,PG,28,82,25,51.7,25.5,0.126,169,0.799,573,0.45,348,0.405,0.54,13.1,2.2,5.2,4.4,32.2,1.04,0.12,8
Nazr Mohammed,Chi,C,35,63,10.8,22.3,15.1,0.107,47,0.723,178,0.371,2,0,0.414,2.6,3.1,16.4,0.4,6,0.33,0.49,5.5
Nenê,Was,C,30,61,27,55.6,23.6,0.163,269,0.729,593,0.481,1,0,0.538,12.6,6.7,13.7,2.9,19.2,0.9,0.61,9.3
Nick Collison,Okc,PF,32,81,19.3,39.9,11.6,0.173,78,0.769,292,0.603,4,0,0.624,5.1,4.1,12.2,1.5,11.5,0.63,0.37,6.5
Nick Young,Phi,SG,27,59,23.7,49.1,21.4,0.077,128,0.82,333,0.447,210,0.357,0.524,10.6,2.2,5.3,1.4,9.8,0.59,0.24,5.4
Nicolas Batum,Por,SF,24,73,38.3,78.9,18.3,0.17,210,0.848,389,0.481,444,0.372,0.566,14.3,5.6,8.6,4.9,20.4,1.25,1.14,7.6
Nikola Pekovic,Min,C,27,62,31.4,65.2,22.7,0.102,324,0.744,741,0.52,1,0,0.571,16.3,8.8,16,0.9,5,0.69,0.81,6.4
Nikola Vucevic,Orl,C,22,77,33,68.4,19.4,0.13,126,0.683,886,0.52,4,0,0.533,13.1,11.9,20.3,1.8,9.3,0.79,1.03,7.9
Norris Cole,Mia,PG,24,80,19.7,40.6,17.1,0.184,80,0.65,327,0.44,98,0.357,0.483,5.6,1.6,5.1,2.1,15.4,0.71,0.09,5.4
O.J. Mayo,Dal,SG,25,82,35.3,72.5,21,0.156,233,0.82,677,0.471,349,0.407,0.556,15.3,3.5,5.5,4.4,19.6,1.13,0.28,7
Omer Asik,Hou,C,26,82,29.8,61.9,16.4,0.189,299,0.562,612,0.541,1,0,0.557,10.1,11.7,22.2,0.9,4.7,0.59,1.06,6.4
