FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,,,,
Lou Williams,Hou,SG,30,23,25.7,53.5,25.4,0.113,113,0.867,134,0.448,130,0.315,0.543,14.8,3,6.5,2.4,14.3,0.65,0.39,7.4,,,,
Luc Mbah a Moute,Lac,PF,30,80,22.3,46.5,11.6,0.1,87,0.678,268,0.552,110,0.391,0.581,6.1,2.1,5.3,0.5,3.1,1.01,0.44,3.3,,,,
Lucas Nogueira,Tor,C,24,57,19.1,39.8,9.5,0.199,67,0.657,144,0.694,12,0.25,0.682,4.4,4.3,12.7,0.7,5.4,0.91,1.56,5,,,,
Luis Scola,Bro,PF,36,36,12.8,26.7,18.7,0.169,37,0.676,101,0.535,50,0.34,0.55,5.1,3.9,16,1,12.7,0.39,0.11,8.5,,,,
Luke Babbitt,Mia,SF,27,68,15.7,32.6,13,0.08,15,0.733,71,0.366,210,0.414,0.563,4.8,2.1,7.3,0.5,4.8,0.29,0.16,4.4,,,,
Luol Deng,Lal,SF,31,56,26.5,55.3,14.3,0.087,63,0.73,260,0.435,165,0.309,0.469,7.6,5.3,10.8,1.3,7,0.86,0.36,5.6,,,,
Malachi Richardson,Sac,SG,21,22,9,18.8,19.3,0.095,19,0.789,40,0.5,28,0.286,0.517,3.6,1,6.7,0.5,8.7,0.23,0.05,5.4,,,,
Malcolm Brogdon,Mil,SG,24,75,26.4,55.1,18.5,0.141,126,0.865,442,0.48,193,0.404,0.555,10.2,2.8,6.3,4.2,24.3,1.12,0.16,7.5,,,,
Malcolm Delaney,Atl,PG,27,73,17.1,35.6,18.3,0.181,93,0.806,278,0.428,110,0.236,0.456,5.4,1.7,5.4,2.6,23.1,0.53,0.01,6.7,,,,
Malik Beasley,Den,SG,20,22,7.5,15.6,22,0.094,10,0.8,45,0.533,28,0.321,0.536,3.8,0.8,5.7,0.5,10.2,0.32,0,6.1,,,,
Manny Harris,Dal,SG,27,4,6.2,12.9,35.7,0.107,4,0.5,13,0.231,2,0,0.239,2,2.3,21.1,0.5,12.8,0,0,8.5,,,,
Manu Ginobili,San,SG,39,69,18.7,39,20.4,0.165,107,0.804,212,0.387,227,0.392,0.532,7.5,2.3,6.9,2.7,20.8,1.19,0.23,7.7,,,,
Marc Gasol,Mem,C,32,74,34.2,71.3,26.4,0.113,332,0.837,892,0.48,268,0.388,0.554,19.5,6.3,10.5,4.6,24.8,0.91,1.34,9.7,,,,
Marcelo Huertas,Lal,PG,33,23,10.3,21.4,17.1,0.201,17,0.529,49,0.429,19,0.211,0.417,2.7,1,5.5,2.3,30.9,0.43,0.09,7.1,,,,
Marcin Gortat,Was,C,32,82,31.2,64.9,14.7,0.138,159,0.648,672,0.58,2,0,0.593,10.8,10.3,18.7,1.5,6.8,0.49,0.74,7.1,,,,
Marco Belinelli,Cha,SG,30,74,24,50,19.2,0.092,168,0.893,332,0.488,283,0.36,0.566,10.5,2.4,5.5,2,13.1,0.59,0.12,6.2,,,,
Marcus Georges-Hunt,Orl,SG,22,5,9.5,19.8,12.4,0.149,10,0.9,5,0.2,2,0.5,0.614,2.8,1.8,10.3,0.6,8.4,0.2,0,6.1,,,,
Marcus Morris,Det,SF,27,79,32.5,67.6,20.3,0.074,185,0.784,650,0.466,357,0.331,0.508,14,4.6,7.8,2,9.4,0.66,0.32,6.2,,,,
Marcus Smart,Bos,PG,22,79,30.4,63.3,18.8,0.156,250,0.812,417,0.42,332,0.283,0.486,10.6,3.9,7.1,4.6,22,1.58,0.43,7.6,,,,
Marcus Thornton,Was,SG,29,33,17.4,36.3,18.8,0.101,27,0.852,130,0.431,80,0.35,0.494,6.6,2.3,7.5,1.2,10.1,0.58,0.09,6,,,,
Mario Hezonja,Orl,SF,21,65,14.8,30.8,18.8,0.141,50,0.8,186,0.398,144,0.299,0.45,4.9,2.2,8.3,1,9.6,0.46,0.22,6,,,,
Markieff Morris,Was,PF,27,76,31.2,65.1,20.5,0.116,215,0.837,693,0.483,196,0.362,0.54,14,6.5,11.7,1.7,7.8,1.08,0.58,6.9,,,,
Marquese Chriss,Pho,PF,19,82,21.3,44.3,19.7,0.132,181,0.624,408,0.52,224,0.321,0.529,9.2,4.2,10.8,0.7,5.2,0.82,0.85,5.6,,,,
Marreese Speights,Lac,C,29,82,15.7,32.7,23.6,0.102,137,0.876,271,0.52,277,0.372,0.584,8.7,4.5,16.2,0.8,8.1,0.28,0.5,8,,,,
Marshall Plumlee,Nyk,C,24,21,8.1,16.9,12.6,0.243,19,0.421,29,0.552,0,0,0.535,1.9,2.4,16.2,0.5,8.1,0.19,0.19,6.5,,,,
Marvin Williams,Cha,PF,30,76,30.2,62.9,16.3,0.072,150,0.873,349,0.496,354,0.35,0.552,11.2,6.6,12,1.4,7.1,0.76,0.7,6.2,,,,
Mason Plumlee,Por,C,26,54,28.1,58.5,18.3,0.14,224,0.567,437,0.538,5,0,0.552,11.1,8,15.8,4,21.4,0.93,1.17,10.1,,,,
Mason Plumlee,Den,C,26,27,23.4,48.7,17.5,0.177,76,0.618,180,0.55,1,0,0.571,9.1,6.4,15.1,2.6,15.9,0.7,1.04,9.1,,,,
Matt Barnes,Sac,SF,36,54,25.3,52.7,16.4,0.168,66,0.758,172,0.453,211,0.327,0.501,7.6,5.4,12.4,2.8,16.3,0.67,0.31,7.7,,,,
Matt Barnes,Gol,SF,36,20,20.5,42.7,13.1,0.193,23,0.87,38,0.526,52,0.346,0.569,5.7,4.6,12.2,2.3,13.7,0.6,0.45,7.7,,,,
Matthew Dellavedova,Mil,PG,26,76,26.1,54.4,16.3,0.188,96,0.854,318,0.406,216,0.366,0.501,7.6,1.9,4.3,4.7,25.7,0.7,0,6.3,,,,
Maurice Harkless,Por,SF,23,77,28.9,60.2,15.2,0.112,124,0.621,430,0.572,194,0.351,0.57,10,4.4,8.5,1.1,5.9,1.1,0.9,5,,,,
Maurice Ndour,Nyk,PF,24,32,10.4,21.6,14.3,0.128,26,0.731,77,0.494,7,0.143,0.513,3.1,2,10.4,0.3,3.5,0.47,0.22,4.7,,,,
Metta World Peace,Lal,SF,37,25,6.4,13.4,21.9,0.085,16,0.625,30,0.333,38,0.237,0.38,2.3,0.8,6.8,0.4,9.8,0.4,0.08,5.6,,,,
Meyers Leonard,Por,PF,24,74,16.5,34.4,15.5,0.081,40,0.875,165,0.436,213,0.347,0.507,5.4,3.2,10.8,1,8.4,0.18,0.38,6.3,,,,
Michael Beasley,Mil,PF,28,56,16.7,34.8,25.3,0.127,105,0.743,363,0.545,43,0.419,0.584,9.4,3.4,12,0.9,9.9,0.48,0.5,7.3,,,,
Michael Carter-Willi,Chi,PG,25,45,18.8,39.2,20.9,0.163,77,0.753,242,0.401,64,0.234,0.437,6.6,3.4,9.7,2.5,20,0.84,0.51,8.1,,,,
Michael Kidd-Gilchri,Cha,SF,23,81,29,60.4,14.6,0.074,194,0.784,609,0.483,9,0.111,0.528,9.2,7,13.2,1.4,7.4,0.99,0.95,6.2,,,,
Mike Conley,Mem,PG,29,69,33.2,69.2,26.3,0.117,368,0.859,590,0.497,420,0.407,0.604,20.5,3.5,6,6.3,34.5,1.33,0.28,9.2,,,,
Mike Dunleavy,Cle,SF,36,23,15.9,33.2,13.7,0.125,19,0.737,33,0.485,57,0.351,0.539,4.6,2,7.1,0.9,7.5,0.26,0.09,5.1,,,,
Mike Dunleavy,Atl,SF,36,30,15.8,33,14.3,0.09,26,0.846,53,0.453,77,0.429,0.597,5.6,2.3,8,1,9.5,0.3,0.17,5.9,,,,
Mike Miller,Den,SF,36,20,7.5,15.7,10.4,0.352,2,1,3,0.333,20,0.4,0.586,1.4,1.9,13.9,1.1,18.4,0.1,0,7.6,,,,
Mike Muscala,Atl,C,25,70,17.7,36.8,14.9,0.133,64,0.766,227,0.546,110,0.418,0.596,6.2,3.4,10.6,1.4,11.9,0.41,0.59,7,,,,
Mike Scott,Atl,PF,28,18,10.8,22.6,15.8,0.113,8,0.875,32,0.406,27,0.148,0.36,2.5,2.1,10.4,0.9,12.5,0.22,0.17,6.2,,,,
Mike Tobey,Cha,C,22,2,12.6,26.3,8.9,0.2,0,0,4,0.25,0,0,0.25,1,1.5,6.5,0.5,5.4,0,0,2.9,,,,
Miles Plumlee,Mil,C,28,32,9.7,20.2,15.5,0.209,35,0.629,68,0.441,0,0,0.492,2.6,1.7,9.9,0.6,8.2,0.34,0.28,5.7,,,,
Miles Plumlee,Cha,C,28,13,13.4,27.9,8.7,0.237,4,0.75,24,0.583,0,0,0.602,2.4,3.2,13.3,0.2,2.5,0.54,0.31,3.4,,,,
Mindaugas Kuzminskas,Nyk,SF,27,68,14.9,31.1,19.2,0.114,68,0.809,200,0.52,168,0.321,0.534,6.3,1.9,6.7,1,10.3,0.43,0.16,6.1,,,,
Mirza Teletovic,Mil,PF,31,70,16.2,33.7,19.1,0.078,45,0.778,113,0.46,305,0.341,0.515,6.4,2.3,8.3,0.7,6.4,0.17,0.19,5.4,,,,
Monta Ellis,Ind,SG,31,74,27,56.2,16.8,0.18,128,0.727,422,0.483,135,0.319,0.514,8.5,2.8,5.7,3.2,17.2,1.07,0.36,6.3,,,,
Montrezl Harrell,Hou,PF,23,58,18.3,38.2,17.6,0.099,121,0.628,338,0.663,7,0.143,0.662,9.1,3.8,11.2,1.1,9.6,0.34,0.72,7.4,,,,
Myles Turner,Ind,C,20,81,31.4,65.4,19.5,0.095,303,0.809,754,0.536,115,0.348,0.585,14.5,7.3,13,1.3,6.6,0.9,2.14,6.6,,,,
Nemanja Bjelica,Min,PF,28,65,18.3,38.1,16.4,0.134,61,0.738,179,0.531,177,0.316,0.526,6.2,3.8,12,1.2,9.6,0.62,0.31,6.7,,,,
Nene,Hou,C,34,67,17.9,37.2,19.7,0.131,197,0.589,388,0.624,9,0.333,0.63,9.1,4.2,12.8,1,8.6,0.84,0.58,7.5,,,,
Nerlens Noel,Phi,C,22,29,19.5,40.5,17.8,0.125,63,0.683,174,0.615,1,0,0.634,8.9,5,14.1,1,9,1.48,0.9,7.3,,,,
Nerlens Noel,Dal,C,22,22,21.9,45.7,17.3,0.124,48,0.708,134,0.575,0,0,0.606,8.5,6.8,18,0.9,7,1,1.09,6.8,,,,
Nick Collison,Okc,PF,36,20,6.4,13.3,10.2,0.131,8,0.625,22,0.636,1,0,0.622,1.7,1.6,13.4,0.6,13.3,0.1,0.1,7.4,,,,
Nick Young,Lal,SG,31,60,25.9,54,19.5,0.051,90,0.856,212,0.481,421,0.404,0.588,13.2,2.3,4.8,1,5.8,0.62,0.23,4.8,,,,
Nicolas Batum,Cha,SG,28,77,34,70.8,22.3,0.15,284,0.856,570,0.453,405,0.333,0.529,15.1,6.2,10.1,5.9,27.7,1.12,0.38,9.7,,,,
Nicolas Brussino,Dal,SF,23,54,9.7,20.1,16,0.147,22,0.773,46,0.5,95,0.305,0.498,2.8,1.7,10.5,0.9,13.9,0.31,0.15,6.7,,,,
Nicolas Laprovittola,San,PG,27,18,9.7,20.1,18.2,0.272,9,1,20,0.5,27,0.37,0.579,3.3,0.6,3.3,1.6,23,0.22,0.06,6.1,,,,
Nik Stauskas,Phi,SG,23,80,27.3,57,16.4,0.155,150,0.813,275,0.433,359,0.368,0.54,9.5,2.8,5.7,2.4,12.9,0.56,0.4,5.9,,,,
Nikola Jokic,Den,C,21,73,27.9,58.2,23.5,0.152,228,0.825,715,0.628,139,0.324,0.64,16.7,9.8,19.5,4.9,28.8,0.84,0.75,13.3,,,,
Nikola Mirotic,Chi,PF,25,70,24,50,19.8,0.106,128,0.773,247,0.522,377,0.342,0.547,10.6,5.5,12.3,1.1,6.9,0.76,0.79,6.7,,,,
Nikola Vucevic,Orl,C,26,75,28.8,60.1,24.8,0.096,160,0.669,956,0.481,75,0.307,0.498,14.6,10.4,19.6,2.8,16.9,1.01,0.99,10.4,,,,
Noah Vonleh,Por,PF,21,74,17.1,35.6,13.1,0.171,94,0.638,250,0.492,20,0.35,0.525,4.4,5.2,17,0.4,3.4,0.41,0.36,4.9,,,,
Norris Cole,Okc,PG,28,13,9.6,20,21.6,0.11,10,0.8,39,0.333,13,0.231,0.381,3.3,0.8,4.9,1.1,16.3,0.62,0,5.9,,,,
Okaro White,Mia,PF,24,35,13.5,28,10.8,0.157,22,0.909,53,0.396,34,0.353,0.507,2.8,2.3,9.6,0.6,6,0.29,0.29,4.6,,,,
Omer Asik,Nor,C,30,31,15.6,32.4,8.8,0.146,39,0.59,65,0.477,0,0,0.517,2.7,5.3,17.8,0.5,4.2,0.16,0.32,4.9,,,,
Omri Casspi,Sac,SF,28,22,18,37.6,16.4,0.119,21,0.571,88,0.477,29,0.379,0.511,5.9,4.1,13.1,1.2,10.1,0.45,0.05,6.8,,,,
Omri Casspi,Nor,SF,28,1,23.7,49.4,20.6,0.182,0,0,5,0.6,4,0.5,0.667,12,2,4.5,0,0,0,0,0,,,,
Omri Casspi,Min,SF,28,13,17.1,35.5,10.5,0.19,8,0.625,29,0.586,10,0.2,0.529,3.5,1.5,5.3,0.8,6.8,1,0.15,3.8,,,,
Otto Porter Jr.,Was,SF,23,80,32.6,67.8,15.1,0.049,119,0.832,462,0.576,341,0.434,0.628,13.4,6.4,11.1,1.5,6.7,1.45,0.53,6.2,,,,
Pascal Siakam,Tor,PF,22,55,15.6,32.5,13.1,0.131,32,0.688,198,0.515,7,0.143,0.523,4.2,3.4,12.2,0.3,2.9,0.47,0.82,4.2,,,,
Pat Connaughton,Por,SG,24,39,8.1,16.9,13,0.183,9,0.778,39,0.513,33,0.515,0.645,2.5,1.3,9.1,0.7,12.7,0.15,0.05,6.5,,,,
Patricio Garino,Orl,SG,23,5,8.6,18,10.2,0.3,0,0,2,0,5,0,0,0,1.4,8.8,0,0,0,0,0,,,,
Patrick Beverley,Hou,SG,28,67,30.7,64,14.1,0.146,95,0.768,255,0.463,287,0.383,0.547,9.5,5.9,10.4,4.2,18.8,1.48,0.37,8,,,,
Patrick McCaw,Gol,SG,21,71,15.1,31.5,11.9,0.121,37,0.784,122,0.533,123,0.333,0.54,4,1.4,5.1,1.1,9,0.45,0.21,4.9,,,,
Patrick Patterson,Tor,PF,27,65,24.6,51.2,12.5,0.085,60,0.717,131,0.458,253,0.372,0.542,6.8,4.5,10.4,1.2,6.6,0.62,0.35,5.4,,,,
Patty Mills,San,PG,28,80,21.9,45.7,19.5,0.133,80,0.825,266,0.474,355,0.414,0.578,9.5,1.8,4.5,3.5,24.2,0.81,0.04,7.1,,,,
Pau Gasol,San,C,36,64,25.4,53,21.3,0.106,184,0.707,500,0.494,104,0.538,0.578,12.4,7.8,17.4,2.3,14.7,0.38,1.09,9.5,,,,
Paul George,Ind,SF,26,75,35.9,74.7,28.9,0.127,374,0.898,852,0.501,496,0.393,0.587,23.7,6.6,10.3,3.3,16.1,1.57,0.36,8.9,,,,
Paul Millsap,Atl,PF,31,69,34,70.7,24.4,0.121,405,0.768,731,0.486,241,0.311,0.542,18.1,7.7,12.5,3.7,17.9,1.3,0.9,9.4,,,,
Paul Pierce,Lac,SF,39,25,11.1,23.1,14.8,0.174,13,0.769,27,0.481,43,0.349,0.535,3.2,1.9,9.7,0.4,5,0.16,0.2,4.8,,,,
Paul Zipser,Chi,SF,22,44,19.2,39.9,14.4,0.144,40,0.775,122,0.451,99,0.333,0.503,5.5,2.8,8,0.8,6.1,0.34,0.36,4.8,,,,
PJ Tucker,Pho,SF,31,57,28.5,59.5,11.3,0.118,77,0.792,218,0.463,136,0.338,0.517,7,6,11.4,1.3,6.1,1.49,0.25,5.3,,,,
PJ Tucker,Tor,SF,31,24,25.4,52.9,10.9,0.094,16,0.688,68,0.412,60,0.4,0.515,5.8,5.3,11.9,1.1,5.9,1.29,0.21,5.1,,,,
Quincy Acy,Dal,PF,26,6,8,16.6,20,0.098,3,0.667,10,0.4,7,0.143,0.355,2.2,1.3,9.7,0,0,0,0,0,,,,
Quincy Acy,Bro,PF,26,32,15.9,33.2,16.5,0.096,57,0.754,70,0.414,83,0.434,0.587,6.5,3.3,11.1,0.6,5.4,0.44,0.47,5.9,,,,
Quinn Cook,Dal,PG,23,5,15.4,32,20.8,0.236,2,0,11,0.545,14,0.357,0.522,5.4,0.6,2.3,2.4,25.7,0.2,0,5.1,,,,
Quinn Cook,Nor,PG,23,9,12.3,25.6,19,0.106,3,0.667,29,0.552,12,0.5,0.614,5.8,0.4,1.9,1.6,20.8,0.33,0,5,,,,
Rajon Rondo,Chi,PG,30,69,26.7,55.6,17.8,0.225,50,0.6,428,0.418,133,0.376,0.461,7.8,5.1,10.4,6.7,37,1.43,0.16,9.6,,,,
Rakeem Christmas,Ind,PF,25,28,7.8,16.3,12.9,0.127,27,0.741,43,0.442,0,0,0.528,2.1,2,14.3,0.1,2.5,0.11,0.21,3.8,,,,
Ramon Sessions,Cha,PG,30,50,16.2,33.8,20.1,0.127,118,0.771,201,0.393,62,0.339,0.495,6.2,1.5,5,2.6,24.2,0.52,0.06,7.1,,,,
Randy Foye,Bro,SG,33,69,18.6,38.8,14.4,0.185,63,0.857,122,0.418,203,0.33,0.506,5.2,2.3,6.4,2,15.2,0.51,0.13,6.2,,,,
Rashad Vaughn,Mil,SG,20,41,11.2,23.3,17.2,0.081,5,0.4,75,0.413,81,0.321,0.449,3.5,1.2,6.2,0.6,7.4,0.46,0.24,4.9,,,,
Raul Neto,Uta,PG,24,40,8.6,18,14.9,0.136,9,0.889,60,0.517,31,0.323,0.527,2.5,0.8,5,0.9,15.1,0.53,0.13,5.7,,,,
Raymond Felton,Lac,PG,32,80,21.2,44.3,16.5,0.131,64,0.781,370,0.473,144,0.319,0.496,6.7,2.7,7.2,2.4,16.3,0.83,0.28,6.6,,,,
Reggie Bullock,Det,SF,25,31,15.1,31.4,13.4,0.071,7,0.714,55,0.473,73,0.384,0.538,4.5,2.1,7.5,0.9,8.8,0.58,0.1,5.4,,,,
Reggie Jackson,Det,PG,26,52,27.4,57.1,26.4,0.134,136,0.868,493,0.442,184,0.359,0.51,14.5,2.2,4.4,5.2,30.3,0.67,0.1,8,,,,
Reggie Williams,Nor,SF,30,6,13.3,27.6,14.5,0,7,0.857,12,0.25,11,0.455,0.518,4.5,1,4,0.7,7.1,0.5,0,4.4,,,,
Richard Jefferson,Cle,SF,36,79,20.4,42.6,12.2,0.118,108,0.741,157,0.58,186,0.333,0.574,5.7,2.6,6.9,1,6.6,0.33,0.13,4.8,,,,
Richaun Holmes,Phi,C,23,57,20.9,43.6,18.6,0.107,103,0.699,335,0.606,77,0.351,0.611,9.8,5.4,14.3,1,8.3,0.74,0.95,7.2,,,,
Ricky Rubio,Min,PG,26,75,32.9,68.6,17.4,0.201,285,0.891,454,0.443,196,0.306,0.539,11.1,4.1,7.2,9.1,38.8,1.71,0.13,9.1,,,,
Robert Covington,Phi,SF,26,67,31.6,65.9,19.2,0.139,174,0.822,320,0.484,412,0.333,0.534,12.9,6.5,11.3,1.5,7.5,1.9,1.03,6.3,,,,
Robin Lopez,Chi,C,28,81,28,58.4,17.5,0.1,104,0.721,773,0.494,2,0,0.511,10.4,6.4,12.4,1,5.6,0.22,1.44,5.8,,,,
Rodney Hood,Uta,SG,24,59,27,56.3,22.9,0.084,115,0.783,358,0.441,307,0.371,0.523,12.7,3.4,7.3,1.6,10.1,0.64,0.19,6.1,,,,
Rodney McGruder,Mia,SG,25,78,25.2,52.5,12.3,0.102,71,0.62,240,0.488,220,0.332,0.506,6.4,3.3,7.2,1.6,8.8,0.59,0.23,5.1,,,,
Rodney Stuckey,Ind,PG,30,39,17.9,37.2,22.2,0.154,107,0.748,184,0.391,60,0.317,0.483,7.2,2.2,6.8,2.2,17.7,0.41,0,7.3,,,,
Ron Baker,Nyk,SG,23,52,16.5,34.3,14.8,0.192,43,0.651,131,0.45,86,0.267,0.456,4.1,1.9,6.2,2.1,17.3,0.67,0.13,6.2,,,,
Rondae Hollis-Jeffer,Bro,SF,22,78,22.6,47,18.7,0.151,253,0.751,475,0.463,67,0.224,0.517,8.7,5.8,13.6,2,13.4,1.05,0.58,8.2,,,,
Ronnie Price,Pho,PG,33,14,9.6,20,9,0.104,4,0.75,7,0.143,17,0.176,0.272,1,0.8,4.5,1.3,16.9,0.79,0.07,4.2,,,,
Roy Hibbert,Cha,C,30,42,16,33.3,14,0.149,75,0.813,144,0.542,0,0,0.613,5.2,3.6,12.3,0.5,4.5,0.19,1.05,5.3,,,,
Rudy Gay,Sac,SF,30,30,33.8,70.3,25.8,0.128,138,0.855,329,0.483,113,0.372,0.559,18.7,6.3,10.8,2.8,14.1,1.47,0.87,8.2,,,,
Rudy Gobert,Uta,C,24,81,33.9,70.6,16.7,0.15,476,0.653,624,0.662,1,0,0.681,14,12.8,21.8,1.2,5.8,0.6,2.64,7.1,,,,
Russell Westbrook,Okc,PG,28,81,34.6,72.1,41.7,0.159,840,0.845,1358,0.459,583,0.343,0.554,31.6,10.7,17.1,10.4,57.3,1.65,0.38,17.6,,,,
Ryan Anderson,Hou,PF,28,72,29.4,61.2,17.9,0.062,150,0.86,267,0.446,506,0.403,0.583,13.6,4.6,8.5,0.9,4.7,0.43,0.19,5.2,,,,
Ryan Kelly,Atl,PF,25,16,6.9,14.3,13.7,0.115,6,0.833,18,0.222,10,0.4,0.408,1.6,1.1,9,0.5,10.2,0.25,0.31,5.6,,,,
Salah Mejri,Dal,C,30,73,12.4,25.8,10.6,0.196,61,0.59,134,0.649,3,0.333,0.65,2.9,4.2,19.8,0.2,2.4,0.44,0.84,4.3,,,,
Sam Dekker,Hou,SF,22,77,18.4,38.4,14.9,0.082,68,0.559,242,0.591,187,0.321,0.549,6.5,3.7,10.9,1,7.7,0.49,0.27,6.3,,,,
Sasha Vujacic,Nyk,SG,32,42,9.7,20.2,17.3,0.098,24,0.708,62,0.306,74,0.311,0.423,3,1.3,7.4,1.2,17.8,0.31,0.05,6.9,,,,
Sean Kilpatrick,Bro,SG,27,70,25.1,52.2,23.8,0.138,242,0.843,427,0.468,308,0.341,0.546,13.1,4,8.5,2.2,14.6,0.64,0.09,7.8,,,,
Semaj Christon,Okc,PG,24,64,15.2,31.7,12.2,0.154,31,0.548,160,0.406,63,0.19,0.387,2.9,1.4,5,2,18.1,0.44,0.11,5.3,,,,
Serge Ibaka,Orl,PF,27,56,30.5,63.6,20.8,0.082,91,0.846,489,0.532,214,0.388,0.569,15.1,6.8,12.2,1.1,5.9,0.61,1.63,6.3,,,,
Serge Ibaka,Tor,PF,27,23,31,64.5,20.9,0.117,34,0.882,176,0.494,103,0.398,0.556,14.2,6.8,12.4,0.7,3.3,0.3,1.43,5.3,,,,
Sergio Rodriguez,Phi,PG,30,68,22.3,46.5,19.3,0.189,27,0.667,284,0.415,252,0.365,0.484,7.8,2.3,5.7,5.1,35.4,0.72,0.06,8.1,,,,
Seth Curry,Dal,PG,26,70,29,60.4,19.5,0.11,100,0.85,381,0.528,322,0.425,0.601,12.8,2.6,5.1,2.7,15.9,1.13,0.1,6.2,,,,
Shabazz Muhammad,Min,SF,24,78,19.4,40.5,21.5,0.076,190,0.774,452,0.529,146,0.336,0.566,9.9,2.8,8.5,0.4,3.7,0.28,0.08,4.6,,,,
Shabazz Napier,Por,PG,25,53,9.7,20.1,21.2,0.167,49,0.776,91,0.429,92,0.37,0.533,4.1,1.1,6.5,1.3,19.5,0.6,0.04,7.4,,,,
Shaun Livingston,Gol,PG,31,76,17.7,36.9,13,0.153,60,0.7,313,0.55,3,0.333,0.568,5.1,2,6.2,1.8,13.5,0.5,0.26,6,,,,
Shawn Long,Phi,C,24,18,13,27,25.5,0.095,35,0.543,90,0.6,19,0.368,0.595,8.2,4.7,20.1,0.7,10.8,0.5,0.5,9.2,,,,
Sheldon McClellan,Was,SG,24,30,9.6,19.9,14,0.054,27,0.852,45,0.511,30,0.233,0.518,3,1.1,6.7,0.5,7,0.27,0.07,4.9,,,,
Shelvin Mack,Uta,PG,26,55,21.9,45.6,19.6,0.178,77,0.688,261,0.51,120,0.308,0.518,7.8,2.3,6,2.8,20.4,0.78,0.05,6.7,,,,
Skal Labissiere,Sac,PF,20,33,18.5,38.6,21.3,0.132,74,0.703,209,0.545,8,0.375,0.579,8.8,4.9,15.2,0.8,7.5,0.48,0.36,7,,,,
Solomon Hill,Nor,SF,25,80,29.7,61.8,11.5,0.133,128,0.805,208,0.428,270,0.348,0.527,7,3.8,6.8,1.8,8.1,0.9,0.4,4.9,,,,
Spencer Dinwiddie,Bro,PG,23,59,22.6,47.1,14.1,0.151,159,0.792,201,0.478,101,0.376,0.581,7.3,2.8,6.5,3.1,20.3,0.75,0.39,7.1,,,,
Spencer Hawes,Cha,PF,28,35,17.9,37.3,19.6,0.147,34,0.882,163,0.54,55,0.291,0.545,7.3,4.2,12.8,1.8,16.1,0.37,0.74,8.5,,,,
Spencer Hawes,Mil,PF,28,19,9,18.7,20.3,0.119,18,0.778,33,0.636,26,0.346,0.62,4.4,2.4,15.3,1,17.7,0.11,0.21,9.8,,,,
Stanley Johnson,Det,SF,20,77,17.8,37.1,14.8,0.155,53,0.679,211,0.398,154,0.292,0.436,4.4,2.5,7.5,1.4,10.5,0.73,0.31,5.6,,,,
Stephen Curry,Gol,PG,28,79,33.4,69.6,30.1,0.129,362,0.898,654,0.537,790,0.41,0.623,25.3,4.5,7.4,6.6,31.2,1.81,0.22,10.9,,,,
Stephen Zimmerman,Orl,C,20,19,5.7,11.8,14.8,0.083,5,0.6,31,0.323,0,0,0.346,1.2,1.8,17.7,0.2,5.3,0.11,0.26,5.3,,,,
Steven Adams,Okc,C,23,80,29.9,62.2,16.3,0.16,257,0.611,654,0.572,1,0,0.589,11.3,7.7,14.2,1.1,5.4,1.11,0.98,6.1,,,,
T.J. McConnell,Phi,PG,24,81,26.3,54.9,14.4,0.224,90,0.811,457,0.492,55,0.2,0.504,6.9,3.1,6.5,6.6,37.5,1.65,0.12,7.9,,,,
Taj Gibson,Chi,PF,31,55,27.3,56.9,19.2,0.117,119,0.714,518,0.529,12,0.167,0.549,11.6,6.9,13.7,1.1,6.5,0.49,0.91,6.5,,,,
Taj Gibson,Okc,PF,31,23,21.2,44.1,19.6,0.125,39,0.718,178,0.494,1,1,0.528,9,4.5,11.7,0.6,4.2,0.61,0.65,5.5,,,,
Taurean Prince,Atl,SF,22,59,16.6,34.7,17.2,0.157,94,0.787,183,0.443,102,0.324,0.513,5.7,2.7,8.8,0.9,8.4,0.73,0.46,5.8,,,,
Terrence Jones,Nor,PF,25,51,24.8,51.6,21.4,0.078,170,0.606,414,0.512,75,0.253,0.518,11.5,5.9,12.6,1.2,7.5,0.76,1.04,7,,,,
Terrence Ross,Tor,SF,25,54,22.3,46.6,19.8,0.062,50,0.82,223,0.516,256,0.375,0.558,10.4,2.6,6.5,0.8,5.9,0.98,0.37,5,,,,
Terry Rozier,Bos,PG,22,74,17.1,35.6,17.1,0.097,66,0.773,232,0.405,179,0.318,0.466,5.5,3.1,10,1.8,15.2,0.62,0.15,7.3,,,,
Thabo Sefolosha,Atl,SF,32,62,25.7,53.6,13.3,0.119,75,0.733,275,0.484,120,0.342,0.519,7.2,4.4,9.3,1.7,9.9,1.55,0.5,5.9,,,,
Thaddeus Young,Ind,PF,28,74,30.2,63,16.4,0.116,86,0.523,569,0.557,118,0.381,0.562,11,6,11.2,1.6,8.4,1.53,0.41,6.3,,,,
Thomas Robinson,Lal,PF,25,48,11.7,24.3,20.7,0.17,66,0.47,195,0.538,1,0,0.535,5,4.6,21.7,0.6,8.8,0.56,0.19,8.2,,,,
