FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,,,,
Carmelo Anthony,Nyk,SF,32,74,34.3,71.5,29.1,0.09,365,0.833,968,0.466,421,0.359,0.535,22.4,5.9,9.3,2.9,14.5,0.82,0.45,8.5,,,,
Chandler Parsons,Mem,SF,28,34,19.8,41.3,17.9,0.091,43,0.814,129,0.388,93,0.269,0.436,6.2,2.5,7.1,1.6,12.8,0.59,0.15,5.9,,,,
Channing Frye,Cle,C,33,74,18.9,39.4,19.3,0.088,74,0.851,185,0.546,335,0.409,0.612,9.1,3.9,11.4,0.6,4.9,0.45,0.51,5.9,,,,
Chasson Randle,Phi,PG,23,8,9.2,19.2,20.1,0.088,12,1,11,0.545,15,0.4,0.671,5.3,0.6,3.7,0.8,13.2,0.38,0.13,5.9,,,,
Chasson Randle,Nyk,PG,23,18,12.5,26.1,19.6,0.157,31,0.935,40,0.45,32,0.313,0.555,5.3,1.7,7.2,1.6,18,0.33,0.06,7.8,,,,
Cheick Diallo,Nor,PF,20,17,11.7,24.4,20.6,0.076,21,0.714,76,0.474,0,0,0.51,5.1,4.3,19.4,0.2,3.2,0.24,0.41,5.6,,,,
Chinanu Onuaku,Hou,C,20,5,10.3,21.5,10.5,0.313,4,1,7,0.714,0,0,0.799,2.8,2,10.6,0.6,7.9,0.6,0.2,5.8,,,,
Chris Andersen,Cle,C,38,12,9.5,19.8,13,0.151,14,0.714,19,0.474,3,0,0.497,2.3,2.6,15,0.4,5.9,0.42,0.58,5.6,,,,
Chris McCullough,Bro,PF,21,14,5.2,10.7,20.3,0.058,3,0.667,25,0.6,6,0.167,0.541,2.5,1.2,12.5,0.1,4.9,0.07,0.14,5.1,,,,
Chris Paul,Lac,PG,31,61,31.5,65.6,24.4,0.14,260,0.892,483,0.518,302,0.411,0.614,18.1,5,8.8,9.2,46.8,1.97,0.13,11.9,,,,
Christian Wood,Cha,PF,21,13,8.2,17.1,15.4,0.191,15,0.733,18,0.667,5,0,0.591,2.7,2.2,14.9,0.2,2.8,0.23,0.46,5.2,,,,
CJ McCollum,Por,SG,25,80,34.9,72.8,27.5,0.099,294,0.912,1002,0.506,439,0.421,0.585,23,3.6,5.7,3.6,18,0.9,0.53,7.7,,,,
CJ Miles,Ind,SF,29,76,23.4,48.7,18.4,0.056,93,0.903,238,0.471,409,0.413,0.592,10.7,3,7.2,0.6,4.1,0.61,0.33,4.6,,,,
Clint Capela,Hou,C,22,65,23.9,49.7,19.9,0.12,177,0.531,563,0.643,0,0,0.638,12.6,8.1,18.5,1,6.7,0.52,1.22,7.8,,,,
Cody Zeller,Cha,PF,24,62,27.8,58,15.5,0.109,196,0.679,442,0.572,1,0,0.604,10.3,6.5,12.9,1.6,9.1,1,0.94,6.8,,,,
Cole Aldrich,Min,C,28,62,8.6,17.8,9.4,0.151,22,0.682,86,0.523,0,0,0.549,1.7,2.5,17.3,0.4,6.4,0.4,0.37,5.6,,,,
Corey Brewer,Hou,SF,30,58,15.9,33.2,12.9,0.127,44,0.727,133,0.541,94,0.234,0.491,4.2,2,6.7,1.1,9,0.64,0.21,5.3,,,,
Corey Brewer,Lal,SF,30,24,14.9,31.1,18,0.126,24,0.75,97,0.495,24,0.208,0.49,5.4,2.2,7.9,1.5,15,0.96,0.33,7,,,,
Cory Joseph,Tor,SG,25,80,25,52.2,18.4,0.131,122,0.77,526,0.477,135,0.356,0.518,9.3,2.9,6.6,3.3,20,0.84,0.15,7.1,,,,
Courtney Lee,Nyk,SG,31,77,31.9,66.5,14.4,0.085,98,0.867,435,0.49,269,0.401,0.559,10.8,3.4,5.7,2.3,10.6,1.05,0.31,5.5,,,,
Cristiano Felicio,Chi,C,24,66,15.8,32.8,12.4,0.112,93,0.645,221,0.579,0,0,0.603,4.8,4.7,16.1,0.6,5.7,0.38,0.26,6,,,,
D.J. Augustin,Orl,PG,29,78,19.7,41.1,19.4,0.133,161,0.814,243,0.412,274,0.347,0.524,7.9,1.5,4.1,2.7,20.4,0.4,0.01,6.4,,,,
Damian Jones,Gol,C,21,10,8.5,17.7,13.4,0.227,10,0.3,16,0.5,0,0,0.466,1.9,2.3,14.8,0,0,0.1,0.4,0,,,,
Damian Lillard,Por,PG,26,75,35.9,74.8,31.5,0.102,545,0.895,909,0.492,579,0.37,0.586,27,4.9,7.6,5.9,28.7,0.91,0.25,10.3,,,,
Damjan Rudez,Orl,SF,30,45,7,14.5,13.6,0.093,0,0,24,0.458,64,0.313,0.466,1.8,0.6,4.3,0.4,9.2,0.27,0.02,4.3,,,,
D’Angelo Russell,Lal,PG,20,63,28.7,59.9,26.5,0.156,188,0.782,482,0.448,384,0.352,0.519,15.6,3.5,6.7,4.8,26.8,1.38,0.25,8.9,,,,
Danilo Gallinari,Den,SF,28,63,33.9,70.6,20,0.082,387,0.902,426,0.491,324,0.389,0.622,18.2,5.1,8.4,2.1,9.1,0.65,0.24,6.8,,,,
Danny Green,San,SG,29,68,26.6,55.4,13.5,0.141,32,0.844,138,0.42,311,0.379,0.537,7.3,3.3,7,1.8,9.6,1.03,0.84,5.3,,,,
Dante Cunningham,Nor,SF,29,66,25,52,10.7,0.07,27,0.593,178,0.579,181,0.392,0.586,6.6,4.2,8.8,0.5,3.1,0.59,0.42,3.8,,,,
Dante Exum,Uta,PG,21,66,18.6,38.8,18.1,0.168,73,0.795,214,0.519,149,0.295,0.521,6.2,2,6.2,1.7,14,0.32,0.18,5.9,,,,
Dario Saric,Phi,PF,22,81,26.3,54.8,24.6,0.152,220,0.782,586,0.469,341,0.311,0.508,12.8,6.3,13.3,2.2,14.3,0.7,0.37,8.5,,,,
Darrell Arthur,Den,PF,28,41,15.6,32.4,17.4,0.138,22,0.864,98,0.429,117,0.453,0.583,6.4,2.7,9.7,1,9.3,0.46,0.51,6.6,,,,
Darren Collison,Sac,PG,29,68,30.3,63.2,19.8,0.125,171,0.86,540,0.494,174,0.42,0.57,13.2,2.2,4.3,4.6,24.5,0.99,0.13,6.7,,,,
Darrun Hilliard,Det,SG,23,39,9.8,20.4,19.3,0.168,28,0.75,80,0.438,46,0.261,0.459,3.3,0.8,4.7,0.8,12.3,0.28,0.05,5.2,,,,
David Lee,San,PF,33,79,18.7,38.9,16.9,0.149,113,0.708,420,0.59,0,0,0.613,7.3,5.6,16.9,1.6,12.9,0.38,0.51,8.6,,,,
David Nwaba,Lal,SG,24,20,19.9,41.4,11.7,0.101,39,0.641,76,0.605,5,0.2,0.611,6,3.2,8.7,0.7,5,0.6,0.35,4.8,,,,
David West,Gol,PF,36,68,12.6,26.2,18,0.222,56,0.768,244,0.541,8,0.375,0.571,4.6,3,13,2.2,24.1,0.62,0.71,9.9,,,,
Davis Bertans,San,PF,24,67,12.1,25.1,15.7,0.114,34,0.824,61,0.557,173,0.399,0.609,4.5,1.5,6.9,0.7,8.3,0.3,0.42,5.5,,,,
DeAndre’ Bembry,Atl,SF,22,38,9.8,20.3,14.3,0.132,16,0.375,80,0.575,18,0.056,0.481,2.7,1.6,8.7,0.8,11.9,0.21,0.13,6.2,,,,
DeAndre Jordan,Lac,C,28,81,31.7,66.1,15.3,0.132,425,0.482,575,0.717,2,0,0.673,12.7,13.8,24.3,1.2,5.7,0.62,1.65,7.5,,,,
DeAndre Liggins,Cle,SG,28,61,12.3,25.7,11.5,0.216,37,0.622,91,0.385,45,0.378,0.473,2.4,1.7,7.4,0.9,9.5,0.74,0.23,5,,,,
Dejounte Murray,San,PG,20,38,8.5,17.6,23.5,0.227,30,0.7,93,0.441,23,0.391,0.503,3.4,1.1,7.4,1.3,22.7,0.21,0.16,8,,,,
Delon Wright,Tor,PG,24,27,16.5,34.5,16.4,0.152,55,0.764,85,0.459,30,0.333,0.539,5.6,1.7,6,2.1,18.2,1,0.41,6.6,,,,
DeMar DeRozan,Tor,SG,27,74,35.4,73.8,34.3,0.09,647,0.842,1421,0.484,124,0.266,0.552,27.3,5.2,8.3,3.9,20.6,1.05,0.18,9.3,,,,
DeMarcus Cousins,Sac,C,26,55,34.4,71.6,37.5,0.132,549,0.77,851,0.482,267,0.356,0.562,27.8,10.6,17.8,4.8,27.4,1.36,1.35,13.1,,,,
DeMarcus Cousins,Nor,C,26,17,33.8,70.4,33.1,0.144,121,0.777,218,0.486,96,0.375,0.564,24.4,12.4,19.4,3.9,20.6,1.47,1.24,12.5,,,,
DeMarre Carroll,Tor,SF,30,72,26.1,54.4,15.6,0.082,117,0.761,230,0.483,320,0.341,0.53,8.9,3.8,8.3,1,5.7,1.11,0.38,5,,,,
Dennis Schroder,Atl,PG,23,79,31.5,65.5,27.8,0.163,255,0.855,920,0.487,294,0.34,0.533,17.9,3.1,5.5,6.3,35.6,0.95,0.22,8.9,,,,
Denzel Valentine,Chi,SG,23,57,17.1,35.7,15.4,0.142,18,0.778,80,0.363,208,0.351,0.492,5.1,2.6,8.3,1.1,9.3,0.53,0.12,5.7,,,,
Deron Williams,Dal,PG,32,40,29.3,61,23.7,0.167,84,0.821,272,0.485,181,0.348,0.533,13.1,2.6,5.1,6.9,40.1,0.63,0.05,8.4,,,,
Deron Williams,Cle,PG,32,24,20.3,42.2,18.1,0.202,25,0.84,94,0.489,53,0.415,0.566,7.5,1.9,5.1,3.6,25.9,0.25,0.25,7.3,,,,
Derrick Favors,Uta,PF,25,50,23.7,49.4,20.7,0.114,109,0.615,407,0.491,10,0.3,0.512,9.5,6.1,14.9,1.1,7.9,0.9,0.8,6.7,,,,
"Derrick Jones, Jr.",Pho,SF,19,32,17,35.5,11.7,0.086,41,0.707,110,0.591,11,0.273,0.604,5.3,2.5,7.9,0.4,3.1,0.41,0.44,4.1,,,,
Derrick Rose,Nyk,PG,28,64,32.5,67.8,25.8,0.119,253,0.874,917,0.487,60,0.217,0.53,18,3.8,6.4,4.4,22.8,0.69,0.27,8.2,,,,
Derrick Williams,Mia,PF,25,25,15.1,31.4,20.4,0.081,50,0.62,92,0.489,45,0.2,0.465,5.9,2.9,10.7,0.6,5.6,0.36,0.2,5.8,,,,
Derrick Williams,Cle,PF,25,25,17.1,35.6,14.4,0.101,39,0.692,55,0.6,52,0.404,0.628,6.2,2.3,7.4,0.6,4.7,0.2,0.12,4.8,,,,
Devin Booker,Pho,SG,20,78,35,72.9,28.6,0.129,441,0.832,1026,0.447,405,0.363,0.531,22.1,3.2,5,3.4,16.3,0.92,0.27,7.1,,,,
Devin Harris,Dal,PG,33,65,16.7,34.8,19.7,0.125,129,0.829,164,0.476,177,0.328,0.549,6.7,2,6.8,2.1,20,0.66,0.11,7.3,,,,
Dewayne Dedmon,San,C,27,76,17.5,36.5,12.3,0.169,93,0.699,259,0.622,0,0,0.645,5.1,6.5,21.1,0.6,4.8,0.49,0.82,6.2,,,,
Deyonta Davis,Mem,C,20,36,6.6,13.8,12,0.127,18,0.556,47,0.511,0,0,0.528,1.6,1.7,14.4,0.1,1.3,0.08,0.47,3.9,,,,
Dion Waiters,Mia,SG,25,46,30.1,62.7,26.3,0.125,127,0.646,448,0.438,215,0.395,0.507,15.8,3.3,6.1,4.3,23.8,0.91,0.43,8.1,,,,
Dirk Nowitzki,Dal,PF,38,54,26.4,54.9,25.8,0.066,112,0.875,469,0.463,209,0.378,0.529,14.2,6.5,14.4,1.5,10.6,0.56,0.7,7.8,,,,
Domantas Sabonis,Okc,PF,20,81,20.1,42,15.5,0.14,67,0.657,322,0.438,159,0.321,0.469,5.9,3.5,9.7,1,7.2,0.48,0.4,5.5,,,,
Donatas Motiejunas,Nor,PF,26,34,14.1,29.3,17.6,0.163,49,0.51,91,0.505,47,0.234,0.47,4.4,3,11.1,0.9,9.7,0.53,0.32,6.5,,,,
Dorian Finney-Smith,Dal,PF,23,81,20.3,42.2,11.6,0.111,61,0.754,142,0.479,191,0.293,0.486,4.3,2.7,7.9,0.8,6,0.64,0.3,4.1,,,,
Doug McDermott,Chi,SF,25,44,24.5,51,17.6,0.074,67,0.881,223,0.493,150,0.373,0.555,10.2,3,6.5,1,6.5,0.25,0.09,5.1,,,,
Doug McDermott,Okc,SF,25,22,19.5,40.7,13.7,0.043,17,0.706,66,0.53,59,0.356,0.547,6.6,2.2,6.3,0.6,4.4,0.09,0.05,4.2,,,,
Dragan Bender,Pho,PF,19,43,13.3,27.8,14.4,0.162,11,0.364,60,0.483,101,0.277,0.44,3.4,2.4,9.8,0.5,5.5,0.23,0.53,4.8,,,,
Draymond Green,Gol,PF,26,76,32.5,67.7,16.2,0.198,213,0.709,388,0.492,263,0.308,0.521,10.2,7.9,13.3,7,27.6,2.03,1.38,10.2,,,,
Dwight Howard,Atl,C,31,74,29.7,61.9,19.2,0.175,424,0.533,611,0.635,2,0,0.627,13.5,12.7,23.5,1.4,7.8,0.86,1.24,8.4,,,,
Dwight Powell,Dal,C,25,77,17.3,36.1,16.7,0.072,141,0.759,303,0.571,74,0.284,0.588,6.7,4,13.3,0.6,6.1,0.79,0.51,5.8,,,,
