,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Isaac Bonga,Was,G,21.39,29,11.9,24.8,9.2,19.6,6,0.5,24,0.5,35,0.314,0.483,0.487,2.1,2,8.7,0.6,6.1,0.24,0.24,0.52,4.6,95.8,103.6
Devin Booker,Pho,G,24.41,41,33.9,70.7,32.3,13.5,220,0.845,536,0.552,239,0.351,0.545,0.591,25.1,4.1,6.8,4.6,22.2,0.9,0.24,3.32,9.2,108.7,104.6
Chris Boucher,Tor,F-C,28.21,47,23.2,48.4,20.5,6.4,150,0.767,248,0.613,171,0.409,0.613,0.648,13.4,6.3,15.1,1,6.7,0.49,1.94,0.7,7.6,129.2,103.7
Brian Bowen II,Ind,F-G,22.49,3,2.7,5.7,12.8,0,1,1,2,0.5,0,0,0.5,0.615,1,0.3,6.8,0,0,0,0,0,0,,
Avery Bradley,Mia,G,30.34,10,21.1,43.9,16.8,11.4,9,0.778,28,0.536,38,0.421,0.591,0.607,8.5,1.8,4.8,1.4,10.3,0.7,0.1,0.9,5.3,110,101.1
Tony Bradley,Phi,C-F,23.22,20,14.4,29.9,12.7,7,11,0.636,74,0.689,1,0,0.68,0.683,5.5,5.2,19.9,0.9,8.6,0.3,0.65,0.3,8.2,144,99.8
Jarrell Brantley,Uta,F,24.81,15,2.9,6,19.7,5,2,1,8,0.5,10,0.4,0.556,0.583,1.5,0.6,11,0.2,10.3,0.2,0.07,0.07,7.8,,
Ignas Brazdeikis,Nyk,F,22.22,4,1.8,3.7,17.9,34.7,2,1,1,0,0,0,0,0.532,0.5,0.5,15.1,0.3,17.4,0,0,0.25,9.4,,
Miles Bridges,Cha,F,23.03,45,26.5,55.3,15.3,16.6,55,0.909,184,0.603,148,0.372,0.583,0.613,9.7,5.8,11.8,2,10.6,0.62,0.67,1.58,7.3,112.5,106.7
Mikal Bridges,Pho,F,24.58,45,32.7,68.1,15.2,8,91,0.835,226,0.628,196,0.413,0.624,0.653,13.4,4.9,8.4,2.4,10.1,0.91,0.89,0.89,6.6,129.2,108.6
Malcolm Brogdon,Ind,G,28.3,43,35.3,73.6,25.7,10.3,123,0.87,474,0.494,285,0.411,0.54,0.569,21.5,4.7,7.4,5.9,26.3,1.05,0.23,2.16,9.5,113.3,111.4
Dillon Brooks,Mem,G-F,25.18,41,29.2,60.8,26.3,10.6,108,0.852,386,0.446,235,0.319,0.458,0.494,16.1,3,5.4,2.5,12.5,1.27,0.39,1.93,6.8,97.7,102.7
Troy Brown Jr.,Was,G-F,21.67,21,13.7,28.5,16.2,14.3,15,0.667,43,0.442,46,0.304,0.449,0.471,4.3,2.9,11.3,0.9,8.8,0.14,0.19,0.76,6.5,92.2,107.2
Troy Brown Jr.,Chi,G-F,21.67,2,15.2,31.7,14.5,9.7,3,0.667,6,0.667,2,0.5,0.688,0.697,6.5,1,3.6,1.5,13.8,1.5,0,0.5,5.6,132.2,95.3
Bruce Brown,Bro,G-F,24.62,43,21.2,44.2,16,10.2,72,0.736,229,0.598,40,0.25,0.565,0.594,8.3,4.5,11.8,1.5,9.8,0.7,0.28,0.79,7.2,122.2,106
Jaylen Brown,Bos,G-F,24.43,43,34,70.8,30.2,11.7,193,0.762,537,0.533,285,0.393,0.552,0.582,24.5,5.6,9.2,3.7,18.6,1.19,0.51,2.79,9.4,111.8,107.9
Moses Brown,Okc,C,21.46,17,18.2,38,18.1,10.1,59,0.559,90,0.589,0,0,0.589,0.599,8.2,7.9,22.8,0.2,2,0.59,1.24,0.76,5.2,122,100.6
Sterling Brown,Hou,G-F,26.13,44,24.2,50.4,13.3,10.6,24,0.917,100,0.49,186,0.403,0.565,0.582,7.8,4.7,10.3,1.5,8.9,0.82,0.27,0.8,6.3,112.7,106.8
Jalen Brunson,Dal,G,24.58,41,25,52.1,20,12.1,102,0.794,236,0.602,125,0.392,0.597,0.631,12.5,3.5,7.7,3.3,20.2,0.54,0,1.37,8.4,121.5,110.5
Thomas Bryant,Was,C-F,23.66,10,27.1,56.4,17.3,9.8,24,0.667,70,0.714,21,0.429,0.698,0.704,14.3,6.1,11.9,1.5,8.5,0.4,0.8,1.1,7.5,130.9,106
Reggie Bullock,Nyk,G-F,30.04,40,27.6,57.6,14.2,8.4,29,0.862,107,0.467,207,0.386,0.541,0.559,9.1,3.4,6.5,1.3,6.9,0.73,0.2,0.75,5,109.9,104.3
Trey Burke,Dal,G,28.38,44,15.1,31.5,19.4,8.3,38,0.868,126,0.524,123,0.374,0.542,0.57,6.9,1,3.5,1.4,13.9,0.59,0.05,0.55,5.6,113.4,110.8
Alec Burks,Nyk,G,29.69,35,26.4,55,20.9,8.2,90,0.856,190,0.437,174,0.408,0.521,0.565,13,4.5,9.2,2.2,13.2,0.77,0.29,1.03,7.6,114.4,103.7
Jimmy Butler,Mia,F,31.54,32,33.6,69.9,27.3,11,254,0.85,409,0.528,63,0.206,0.499,0.588,21.5,7.7,12.8,7.3,37.3,1.91,0.38,2.25,12.7,123.5,106
Bruno Caboclo,Hou,F,25.52,6,6.1,12.6,25.6,18.3,2,0.5,12,0.667,5,0,0.471,0.475,2.8,2.3,20.4,0.2,4.7,0,0.33,0.67,7.1,83.1,95.8
Devontae Cacok,Lal,F,24.47,9,5,10.5,16.2,11.8,2,0,14,0.643,0,0,0.643,0.605,2,1.4,15.9,0.1,3.4,0.44,0.11,0.22,5.2,111.6,94.8
Kentavious Caldwell-Pope,Lal,G,28.11,43,26.3,54.7,13.9,12.5,64,0.859,128,0.461,160,0.394,0.533,0.572,8.4,2.4,5.1,1.5,7.7,0.79,0.28,1.05,4.7,108.8,104.6
Facundo Campazzo,Den,G,30.02,40,17.9,37.2,13.2,16.3,41,0.805,50,0.42,112,0.357,0.5,0.542,4.9,1.4,4.3,2.8,19.1,1,0.2,0.88,6,113.7,105
Vlatko Cancar,Den,F,23.97,25,5.9,12.3,13.2,20.2,6,0.833,15,0.6,18,0.278,0.5,0.533,1.5,1.2,11.1,0.3,6.7,0.32,0.08,0.36,5.5,97.6,105
Clint Capela,Atl,C,26.87,40,29.2,60.9,20.2,9.5,129,0.55,438,0.587,0,0,0.587,0.591,14.6,14.1,26.4,0.9,4.9,0.75,2.15,1.3,7.8,121.7,103
Vernon Carey Jr.,Cha,F-C,20.09,7,3.5,7.4,10.1,17,2,0.5,3,0.667,1,0,0.5,0.512,0.7,1.3,19.8,0.1,5.3,0,0.14,0.14,5.1,,
Wendell Carter Jr.,Chi,C-F,21.95,32,24.7,51.5,18.9,14,111,0.739,230,0.526,22,0.364,0.528,0.578,10.9,7.8,17.4,2.2,12.2,0.56,0.75,1.53,9.3,115.2,101.1
Wendell Carter Jr.,Orl,C-F,21.95,1,20.3,42.3,15.1,14.1,7,0.571,2,1,1,0,0.667,0.658,8,8,20.5,0,0,1,0,1,0,118.4,98.3
Jevon Carter,Pho,G,25.54,34,9.5,19.7,14.1,5.9,2,1,31,0.484,64,0.328,0.489,0.495,2.8,1.1,6.8,1.1,15.4,0.38,0.21,0.18,6.3,109.6,101.5
Michael Carter-Williams,Orl,G,29.47,25,26.1,54.4,20.1,19.5,56,0.679,172,0.424,47,0.234,0.409,0.445,8.7,4.5,9,4.2,23.9,0.56,0.48,2.36,8.4,91.8,104.3
Alex Caruso,Lal,G,27.08,37,19.9,41.5,14.2,17,47,0.638,96,0.417,83,0.386,0.492,0.516,5.6,3,8.4,2.4,16.3,1.14,0.22,1.11,6.9,104,98.7
Willie Cauley-Stein,Dal,C,27.61,35,17.1,35.6,12.2,9.7,50,0.66,119,0.655,8,0.125,0.626,0.644,5.5,4.3,13.7,0.7,6.1,0.31,0.8,0.46,6,130.3,101.2
Chris Chiozza,Bro,G,25.35,16,10.3,21.4,21.1,13.8,13,0.769,31,0.323,32,0.344,0.421,0.458,3.9,1,5.4,2.9,37.4,0.38,0.25,0.69,8.7,108.5,111.2
Marquese Chriss,Gol,F,23.74,2,13.4,27.8,28.4,11.3,4,0.5,9,0.444,5,0.2,0.393,0.412,6.5,6.5,25.8,1,11.3,0,1,1,10.4,87.2,97.7
